state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085192.1_2022)	age(C_AA085194.1_2014)	age(OQ175264.1_2016)	age(OQ175290.1_2018)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175300.1_2010)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MN611520.1_2018-03)	age(MZ328297.1_2016)	age(OQ175231.1_2017)	age(OQ175287.1_2016)	age(OQ175288.1_2017)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175299.1_2020)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(DQ648790.1_2005)	treeLikelihood	branchRates	coalescent
700000	-3609.018583588914	-893.0259001736392	-2715.9926834152748	336.839532473741	1685.160467526259	2231.914131846303	41.978516576925806	0.43947511486540747	1980.0214834230742	2021.5605248851346	520.4584714032144	0.9005380781362745	1.2936538477218396	0.5739764243880187	0.6647439922794138	2.2144755085696746	0.35261214890478415	0.21024078231567725	0.17237004053357807	0.16039728103134102	0.4569918961194038	0.24551024181143105	0.0022253110764356597	8.660860391855682E-4	0.0019335703858232032	0.3891173785658871	0.04051392687128955	0.0	0.0	0.0	0.0	0.0	7.345143608762371	5.5983823564448585	3.406573831403919	1.3651904503266765	1.5908600857402733	1.3676261886826664	11.524889813267508	15.602343767425824	15.499851512624598	8.235335342211927	3.8017468268434547	5.970130422265966	4.000567412696486	5.487153842079161	4.118310885184345	2.4191692755818117	1.918039983935088	1.8320820199328516	2.1941092368770323	4.426905296637904	16.98432995837336	-2715.9926834152748	-505.67017252941577	-381.5514963062638
1400000	-3617.1053446876303	-894.7183646488891	-2722.3869800387415	391.5981997515281	1630.4018002484718	2353.765120550393	48.9768676752616	0.5823205265140423	1973.0231323247383	2021.417679473486	399.8526352411696	0.6846320142672023	1.2842380532282145	0.7514236102400307	0.5936263536215599	2.366703931345948	0.3193760372970487	0.2268007601506163	0.19162779339842242	0.18011296271889637	0.4014584837320633	0.22164646257312692	0.0018418727082082553	2.181517339585124E-4	0.0018674981605654357	0.1147034401115177	0.15063106949710586	0.0	0.0	0.0	0.0	0.0	7.79956615820344	5.843816647370881	3.049466757793735	1.6786183103842642	1.7342864669526423	1.5953223460534502	11.231385578273802	15.589078170696943	15.433592931679085	8.038798103396491	3.7953113509774035	5.934027775406437	4.878219292512454	5.534139321064572	4.6915154165398585	2.141794351627734	1.1018978005812285	1.6649221513288563	2.399671283098931	4.013460758228903	16.423420501086532	-2722.3869800387415	-505.67017252941577	-385.272117237831
2100000	-3606.3276003314986	-882.8706478737959	-2723.4569524577028	239.8033526304752	1782.1966473695247	1689.8351724400234	42.38552556796184	0.2998835461197828	1979.6144744320382	2021.7001164538801	420.11040469915713	0.6833392552007419	1.4034239647086484	0.744117518529101	0.6551343764969886	2.1909991044084434	0.32298578065607936	0.1934184968657639	0.2286126246157667	0.15552402764256962	0.42244485087589817	0.23932959867211714	0.0024537798301482376	7.682840335731609E-4	0.0024685395720957185	0.30430760834514925	-0.23651227315426443	0.0	0.0	0.0	0.0	0.0	7.163374540228547	5.192044822545092	3.5143780997106697	1.5701548118656947	1.1331904417306036	1.341972629824756	11.028872800917275	15.723328945454444	15.222479940560403	8.282044602553816	3.8367349951652123	5.005659659446794	4.4652792538742565	5.851442103719866	4.244541101047538	2.411920613273465	1.7073788676942563	1.395380801578816	2.507629607307985	4.586276127411259	16.777726846376773	-2723.4569524577028	-505.67017252941577	-370.5253852575845
2800000	-3607.713381795318	-895.6424500287305	-2712.0709317665874	257.7288791182592	1764.271120881741	2236.200976769737	57.22824472162426	1.670547270423864	1964.7717552783758	2020.3294527295761	456.5574053179294	0.73395678280425	1.2992162448972289	0.6367753478739305	0.562331369659708	2.3882708617696684	0.3794493929952232	0.20616563215499364	0.1710363111254285	0.17327863368519605	0.4495194230343798	0.19645801581008634	0.0017215314416222625	8.781020095233397E-4	0.0015351270595939498	0.49126046706403964	0.015114965212713648	0.0	0.0	0.0	0.0	0.0	7.600986273363072	5.424629464059378	3.605104542234468	1.7936340471698722	1.2290680799886446	1.8324117735087246	11.116878732750026	15.045555409143816	15.543139605116714	8.052360110712618	3.8022514136581385	5.07018054855209	4.749312147734067	5.007430215132073	4.292896788135339	2.678740036119295	1.5651269404568002	1.917914107799196	2.722108449909223	4.269419604163783	16.08775687379074	-2712.0709317665874	-505.67017252941577	-386.45781338892704
3500000	-3604.20822712574	-878.651734771699	-2725.556492354041	247.7155532103378	1774.2844467896623	1684.6878791156398	22.1348745447506	0.44099785885341736	1999.8651254552494	2021.5590021411465	386.2675796983633	0.8647544059346436	1.3425846920014526	0.7340634319326076	0.3120341546933959	2.3408958476918267	0.4056674677460837	0.22053594043896943	0.17637297500289714	0.18384937263729154	0.41924171192083864	0.20853006398101503	0.00250919951942072	0.0012810788238151324	0.0023540166567438624	0.4550275432969646	-0.03990382465822464	0.0	0.0	0.0	0.0	0.0	7.988461063090704	5.88818428858861	3.315005510756913	1.9600583123573294	1.0393727525333833	1.0166170873322027	11.86411228707239	15.90420290204893	15.302778800817238	8.485157028110969	3.817353656466627	5.094618545490738	4.888152279412966	5.044737377799851	4.339447300444099	2.6702432937745333	1.688100319540426	1.7752750081776227	2.3071860440268637	4.5369032787943055	16.66207800953183	-2725.556492354041	-505.67017252941577	-366.1216093752597
4200000	-3639.8142046006683	-891.5954870009155	-2748.218717599753	176.64281065246342	1845.3571893475366	1863.104588345288	67.60705545428688	0.4215986620801143	1954.3929445457131	2021.5784013379198	401.0989426750227	0.850845590398147	1.4161427340117492	0.6824893061782787	0.4076067871379464	2.376367112234699	0.26654847003919685	0.2149367814926354	0.16830455883674608	0.21470624892493945	0.40205241074567655	0.22848448317842723	0.0018614795137236362	8.187649035202426E-4	0.002023058374879906	0.4569183942976838	-0.06425335469096846	0.0	0.0	0.0	0.0	0.0	7.170180262406598	5.336465149899271	3.211608700685171	1.1257751479557303	1.5650950406467574	1.7009135488264697	11.309313752308524	15.846385235283293	15.780761316499762	8.333918202974376	3.77380984228323	5.006222610192	4.549671056851794	5.712182803037146	4.25089635935504	2.7256921480487493	1.8580106116563484	1.7308479248947553	2.397444163027076	4.25444779457	16.54800025958935	-2748.218717599753	-505.67017252941577	-382.0639465169533
4900000	-3609.14260994714	-896.9474308266015	-2712.195179120539	150.52517934213415	1871.4748206578658	2042.4801075585015	64.38257221898523	2.314481390605682	1957.6174277810148	2019.6855186093944	387.94958788650797	0.894782865972894	1.4533807799257126	0.8249635103546346	0.36661545963220465	2.226529124366526	0.2337282597480446	0.21004378562337228	0.17826990754571914	0.21033615410472678	0.40135015272618	0.28157911028773497	0.0015947311106336134	0.0018397121833896627	0.0014652232366610556	0.9893653764774305	-0.10559708097470526	0.0	0.0	0.0	0.0	0.0	7.217759051291566	5.04195189690073	3.722300726238386	1.5403243772770714	1.8951711046797621	1.7252627340566935	11.723715622701569	15.250488192336958	15.478047958662977	8.964437305670128	3.8381219356177065	5.340293027880025	4.884531563102097	5.402386081543974	4.969533406880229	2.286087910345492	1.131567646991463	1.4368807282586031	2.183494315678875	4.695853774540648	16.001731152270175	-2712.195179120539	-505.67017252941577	-388.11386032064456
5600000	-3615.6877064007103	-884.6525484909237	-2731.0351579097864	349.0841300652918	1672.915869934708	2113.811998203617	35.0359426686374	0.6742979303234041	1986.9640573313627	2021.3257020696767	354.99777122946216	0.4850490164243675	1.3707080901451956	0.7705515824080983	0.5003537023539795	2.471200888048462	0.40213672061991856	0.2222181507689163	0.18312831554520942	0.1852252745706089	0.40942825911526387	0.22994466546435333	0.0019549308920770643	9.152691231060972E-4	0.001784940636041128	0.4271923833717836	0.08223132799296809	0.0	0.0	0.0	0.0	0.0	7.537305119089945	5.5223458489898105	3.840653398013288	1.728574059743858	1.3788651695727796	1.6858232470659418	11.034311755144135	15.739153757951144	15.300141777502064	8.323464792370396	3.8290224763877023	5.352244205396454	4.691098544275197	5.818746579791081	4.632058737189006	2.218145654874478	1.0540188400164605	1.2485536622722824	2.0151926586871296	4.621535654764606	16.40481442887367	-2731.0351579097864	-505.67017252941577	-374.8677588032967
6300000	-3601.7282411428287	-886.9134649414316	-2714.8147762013973	291.77023316294395	1730.229766837056	1950.204673392175	44.01584151485489	1.007290487115599	1977.9841584851451	2020.9927095128844	477.2523046380435	0.43070924055508447	1.5395566623904962	0.6878497824792033	0.5543508117248755	2.5125206884024047	0.27501281444796094	0.23545329849477423	0.1824387897655598	0.19449650334213878	0.3876114083975248	0.22792022631061587	0.001813201429021627	0.0010720320319340649	0.0017398785492964378	0.6009752111738228	-0.04754622538095682	0.0	0.0	0.0	0.0	0.0	7.463242552036073	5.871470822199248	3.698145313553612	1.1275324749864208	1.6615326890845699	1.6919677219765745	11.874197122094547	15.047701103821753	15.233594551819703	8.003939972487638	3.8332790628236064	5.9184268425888185	4.902642025601606	5.6753624293930995	4.437528665721171	2.296008742691301	1.5700155168178052	1.2776162050861548	2.274467283524234	4.554905197521518	16.683214284841256	-2714.8147762013973	-505.67017252941577	-377.31374544305476
7000000	-3596.441915956418	-883.2612178113286	-2713.1806981450895	318.052507713994	1703.947492286006	2069.388624272317	35.66207135721611	2.6781518070487618	1986.337928642784	2019.3218481929512	383.37705715365325	0.6313946852235502	1.295779428781564	0.6880579981347862	0.6189736963505252	2.4671490555230435	0.29864513598655607	0.21174587931886643	0.16437013060187952	0.17249175243456383	0.45139223764468756	0.25921312772233196	0.001721087057642491	8.455273420054605E-4	0.0015378157502164349	0.45026952825827976	0.29277163134031964	0.0	0.0	0.0	0.0	0.0	7.4836379497151215	5.475698591257391	3.8173311419724754	1.1620880701055163	1.7091391198959922	1.802542328250715	11.491865443067846	15.693908851042481	15.546581249096818	8.881602627314681	3.7800845103565988	5.5842269281273476	4.1141255896183155	5.70481102249708	4.669950730814357	2.5589794133880517	1.7005483787559932	1.9857083060326681	2.363008674996779	4.631013316432533	16.975038240542204	-2713.1806981450895	-505.67017252941577	-374.15255867933774
