state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(OQ175264.1_2016)	age(OQ175290.1_2018)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175300.1_2010)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MN611520.1_2018-03)	age(MZ328297.1_2016)	age(OQ175231.1_2017)	age(OQ175287.1_2016)	age(OQ175288.1_2017)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175299.1_2020)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(DQ648790.1_2005)	treeLikelihood	branchRates	coalescent
700000	-3189.316623507527	-833.1437685692817	-2356.172854938245	201.1491658561845	1820.8508341438155	2100.648749588092	26.169402476298128	0.5990739999086668	1995.830597523702	2021.4009260000914	718.1504753853349	0.16132900805921446	1.5731421430972408	0.4941333322132973	0.9668934095550369	2.0530003105176693	0.7515017965575408	0.2657230405960137	0.24473593662052168	0.1210392088659912	0.3685018139174728	0.2505520710350575	0.0022349253662980956	0.002004492572724342	0.0017577070720469878	0.8101363995719183	-0.08264235262670046	0.0	0.0	5.924867109570858	3.6989031915157726	1.9690462018158439	1.9778962717619848	1.0967746379570515	11.046403690069342	15.93229516592285	15.644841359967376	8.641483804356787	3.7773287076312068	5.569761724026662	4.152427480659383	5.2542804038562805	4.000474870093505	2.7039844490339835	1.3182622066395175	1.0323651541339935	2.1569835734813907	4.371676732026809	16.611802525930173	-2356.172854938245	-460.51701859880916	-365.90438072548795
1400000	-3241.668443700497	-864.9128054863334	-2376.755638214164	370.09821536518615	1651.9017846348138	4355.198364165539	31.719764383107663	8.555429721509604	1990.2802356168922	2013.4445702784903	1115.9435413517613	0.16899376911026237	1.5397415887143682	0.4979263934021481	0.8875472810578499	2.284276738680058	0.6215142290353153	0.2597599184079309	0.22801543316079356	0.14650980912356124	0.36571483930771487	0.25310399989382926	9.264429533774116E-4	7.427899523124487E-4	7.811478422676844E-4	0.7847760203155841	-0.06888377957928564	0.0	0.0	5.567634169659452	3.5091887168136244	1.2289048067420518	1.2788419199342882	1.5281413986419008	11.72057915181869	15.063854704765715	15.029115057929536	8.89654599148739	3.8073640754139486	5.771367051362308	4.027177194442061	5.1762575524810845	4.044960972686917	2.2619045748244977	1.1620534140852805	1.9358902302828138	2.839305820323671	4.355544816576389	16.31265182034953	-2376.755638214164	-460.51701859880916	-398.8652685294567
2100000	-3188.5745728505535	-828.6029030260307	-2359.971669824523	175.45104456118517	1846.5489554388148	2283.8117998329703	19.361628174263203	1.9734300472203727	2002.6383718257368	2020.0265699527797	645.0956882227357	0.12223699875418247	1.3174246153371947	0.5216404072384145	0.9464312480686171	2.64299981892572	0.44926691167587274	0.2759906614710838	0.20924153883653943	0.13897577202856554	0.37579202766381214	0.24333067810069217	0.0019430386664062104	0.002248058558826416	0.0014016210884431508	1.0022200445295608	-0.07389022130079685	0.0	0.0	5.117088119173706	3.6635616076090813	1.7897594002442028	1.9700780484891685	1.0112181083217102	11.967519779687418	15.183337669967456	15.483365069220067	8.922974268113986	3.7809700104029225	5.875686753115051	4.464240025085866	5.260705513199866	4.339271798919882	2.504296787440508	1.6370025665921877	1.4218400453023394	2.3408018889011304	4.8718774174458295	16.078360776363997	-2359.971669824523	-460.51701859880916	-362.9803926194477
2800000	-3197.7837716602608	-833.503553924542	-2364.280217735719	184.5822558470435	1837.4177441529564	2257.184745528784	42.38921553075009	3.975729785290406	1979.61078446925	2018.0242702147095	619.4808175838542	0.11634529134393146	1.584104714396155	0.7821247377388728	0.5491524748202243	2.6500387638115543	0.3182340178892582	0.20123078491580043	0.2311865586101946	0.14506088962663313	0.422521766847374	0.2435162031504693	0.0019198133107136458	0.001138604804471164	0.0017365195547965572	0.5667879130127597	-0.01663735481353973	0.0	0.0	5.972160908410646	3.340164770403338	1.8784295156583153	1.5386687288832444	1.2173099326506596	11.615869243656036	15.608902472453915	15.994402068434919	8.914281321696906	3.7757668713736576	5.3867470347318065	4.905146203943772	5.256894831778615	4.152390029776685	2.0024757093916716	1.7871048888939878	1.9543688014364569	2.109175716432371	4.280975115549991	16.24547750578989	-2364.280217735719	-460.51701859880916	-368.08383966801443
3500000	-3192.9060821655808	-816.8474254495072	-2376.0586567160735	131.92623963693387	1890.0737603630662	1584.0595707653686	12.399088574141786	0.03050535518322625	2009.6009114258582	2021.9694946448167	427.47539959048066	0.2870560012787474	1.4341192281608688	0.7389101792833055	0.25131716494094614	2.994959456651892	0.2936379696842282	0.22674986776537293	0.2026524041787467	0.19699197853354228	0.37360574952234055	0.2613342659921053	0.002439183491417217	0.0013378315857997135	0.00222571755910202	0.4584701728727298	-0.10554849812233769	0.0	0.0	5.36854829665919	3.830768290537504	1.4036513067703582	1.0281838794597542	1.3628991069323746	11.270089595540115	15.076165728230627	15.951819900186601	8.091885489597008	3.812708878518642	5.128585132492076	4.086027364802498	5.516764691619684	4.932065878912831	2.686764240477123	1.6079205996809502	1.2544530874885091	2.3433721077334617	4.697734831104097	16.9980019312573	-2376.0586567160735	-460.51701859880916	-349.67325221239327
4200000	-3188.5874064452455	-837.3287274425024	-2351.258679002743	186.65979768535675	1835.3402023146432	2457.160461627246	41.09121237590009	0.36527910567682886	1980.9087876241	2021.6347208943232	707.2883752850964	0.15649324050279712	1.7402015160634214	0.5329494567587706	0.6246494584190425	2.6080003920558585	0.337705936200104	0.23138928810823958	0.22774906120441227	0.17583810540461614	0.365023545282736	0.27198751788742637	0.0014101835691892317	8.968606571069002E-4	0.0013048953281248345	0.5516508126940801	-0.025948420348516545	0.0	0.0	5.97478301913186	3.7613005134487723	1.7366244997093299	1.494683992368544	1.5965664814181246	11.065153506918417	15.743837350770775	15.916608892829805	8.183870977464236	3.8043380562452067	5.9596953591566955	4.257556350226702	5.412998521378533	4.84727386089326	2.709094361485328	1.2399906681352197	1.184172970159212	2.2346133327676845	4.4848919761529205	16.749035777287304	-2351.258679002743	-460.51701859880916	-372.8133037682583
4900000	-3186.134191966849	-840.5281181978957	-2345.606073768953	227.41120875628758	1794.5887912437124	2669.875563021892	20.1184492044849	1.873454953250977	2001.881550795515	2020.126545046749	657.9041267670491	0.23937199229169023	1.4047807629749176	0.7324005028446882	0.7250516777199062	2.512152515614728	0.38624254855405915	0.2531279837150452	0.237714305724943	0.17624607465296369	0.3329116359070501	0.2697524289987412	0.0014001244927280083	0.0012746450007909995	0.001216853430888956	0.7877468563088871	-0.020775642634142173	0.0	0.0	5.135766576961475	3.829791435466979	1.669076349174261	1.476108073462572	1.0064615019568888	11.795167227448683	15.609436270502865	15.911425393479503	8.24436551050061	3.8178452021963745	5.685814813001674	4.2113509066606785	5.492463911790724	4.875503964157842	2.579696615601594	1.4816521794081248	1.7088067745131346	2.0422903633931284	4.96507852954854	16.11522289895479	-2345.606073768953	-460.51701859880916	-376.25678097484496
5600000	-3156.548567737672	-809.8317139803621	-2346.7168537573098	105.30631809886444	1916.6936819011355	1530.3736611687114	12.553386794477865	0.15021222384822214	2009.4466132055222	2021.8497877761517	271.15693395641523	0.36760858212165576	2.03375814827855	0.6686028513137033	0.39505965506696783	2.1055028981181625	0.4294678651009495	0.18704915454484586	0.30435184506222696	0.14649596107444446	0.36210303931848475	0.22187227118918268	0.002509995100293574	0.0014984844834564051	0.002152629938867723	0.6364136287694308	-0.030020705818742756	0.0	0.0	5.81899099823527	3.075782104862779	1.8213791969524216	1.0411160121964627	1.3809562235519044	11.615558106932363	15.980677916286899	15.929116064107236	8.581231750027175	3.8072972217333625	5.152547728097076	4.7518779642359155	5.957707183453637	4.221797899423462	2.8857590534866944	1.450866311697788	1.0374944237796826	2.5282989658943507	4.2317192868343305	16.91183380548776	-2346.7168537573098	-460.51701859880916	-342.4645155111814
6300000	-3183.5434579981224	-833.2938177157971	-2350.2496402823253	184.24467267426905	1837.7553273257308	2262.7526710054117	28.795774241255366	3.147073534646359	1993.2042257587445	2018.8529264653537	593.6494480997478	0.174229903503546	2.138042739762044	0.8183731785506958	0.6270009641832567	1.898467658419075	0.34388555558137085	0.15978545679718859	0.2919634044545382	0.16003442169315135	0.3882167170551228	0.21980078258310973	0.001934525486758843	0.0016530566296522982	0.0016686291427889805	0.8874273117031543	0.04461587804815515	0.0	0.0	5.097542261674443	3.7351209519677546	1.602375040999863	1.522317320748034	1.907881019029215	11.302342677917224	15.330941724748655	15.07372869956624	8.842489677027917	3.7584687060088076	5.983251706960689	4.297675044709762	5.816963625802224	4.992381757918413	2.8427196690300334	1.5819395490755053	1.1698285368518384	2.235316415061306	4.522084064899167	16.795112250530302	-2350.2496402823253	-460.51701859880916	-367.9774616921444
7000000	-3213.6118028418223	-850.8126561161703	-2362.799146725652	275.84331152631796	1746.1566884736822	3245.028270881996	20.284783177360573	1.0043004301532454	2001.7152168226394	2020.9956995698467	934.6051616735527	0.2989516072987567	1.7730906249712275	0.5863839356312506	0.4318403835648379	2.4869209481824397	0.4228125003514707	0.261274763739541	0.2254429835153878	0.17634360441269067	0.33693864833238174	0.2707848890062141	0.0013338673028995892	8.988514056991267E-4	0.0010491987197295597	0.7193903196591477	0.08613622869054281	0.0	0.0	5.650341711058264	3.4879817981042565	1.6983050307032568	1.5107785754427943	1.1749188743647272	11.827139647188128	15.921810816981484	15.692177525275252	8.020006815330404	3.825302507823681	5.698710058926215	4.651835546915664	5.931411406609497	4.676029375910959	2.131625011841458	1.4818731009394313	1.062569152907516	2.692683854233729	4.868835818250639	16.113026928796657	-2362.799146725652	-460.51701859880916	-385.35332153453044
