state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085192.1_2022)	age(C_AA085194.1_2014)	age(OQ175264.1_2016)	age(OQ175290.1_2018)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175300.1_2010)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MN611520.1_2018-03)	age(MZ328297.1_2016)	age(OQ175231.1_2017)	age(OQ175287.1_2016)	age(OQ175288.1_2017)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175299.1_2020)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(DQ648790.1_2005)	treeLikelihood	branchRates	coalescent
700000	-7293.249522701915	-874.4455099835777	-6418.804012718338	271.85298689116496	1750.147013108835	1578.1024420545427	18.041607648744428	0.2777121038033211	2003.9583923512555	2021.7222878961966	346.4302493129197	0.3426922322899663	1.615488651539473	0.507831140219842	0.22120971899517688	3.0054650544291537	0.3073132025263962	0.2527492794058356	0.21579928713288068	0.18088118022783542	0.3505702532334475	0.1693968096395839	0.0022607363739259915	0.0012417832374187574	0.0023608152704926774	0.5003749041314034	-0.09743006594950081	0.0	0.0	0.0	0.0	0.0	7.8052584544040355	5.291718659002629	3.142936733593472	1.575416928495192	1.039897913528288	1.0796539049505534	11.180670699963194	15.828384198232479	15.096595227527128	8.018377343994937	3.8010778090054904	5.76351441396753	4.142573641547408	5.076346128637355	4.214002221759059	2.7426981109480075	1.8786288368289874	1.891303030381399	2.849837053931734	4.395237355679569	16.490953888771873	-6418.804012718338	-505.67017252941577	-363.43644916583366
1400000	-7320.227487584041	-903.9341204829705	-6416.2933671010705	570.0655622157888	1451.9344377842112	2838.1696909261905	37.66081596209033	0.0736270208601821	1984.3391840379097	2021.9263729791398	433.59723772090973	0.27791262957772705	1.555052846132199	0.5197890724281073	0.12841307667426613	3.155276199733735	0.3635561754539844	0.24710836767172378	0.20645574990800353	0.1885053761156628	0.35793050630460815	0.19485563494671249	0.001531657236415765	6.24116061937846E-4	0.0013276215858007796	0.3312915420739096	0.014012874456395121	0.0	0.0	0.0	0.0	0.0	7.9085176286439705	5.149746276212529	3.292842836939854	1.2143931548364584	1.604200805243937	1.9613614511563808	11.910529955350922	15.874694851685593	15.652249678595712	8.298016825218202	3.776863891664126	5.893247891350744	4.128384109390526	5.6444218976640546	4.444136741539342	2.4719440921869564	1.0471057614625128	1.9888709747760762	2.749734292722432	4.374967790832217	16.550126082827475	-6416.2933671010705	-505.67017252941577	-395.30115440374067
2100000	-7314.161609564457	-894.4257917636737	-6419.735817800783	539.0418307306845	1482.9581692693155	2480.4936869845114	22.97970927917168	0.42116320114110817	1999.0202907208284	2021.578836798859	527.2797783484889	0.27655088856233023	1.4947165634738764	0.45980046455871454	0.20828871932370496	3.233138387958195	0.3275049761232001	0.27125177226789576	0.19837194965316643	0.17062942651925853	0.3597468515596771	0.17914482887584515	0.0018905621490292635	7.546143684211535E-4	0.002051710255235519	0.42745558256977384	0.08837928666800346	0.0	0.0	0.0	0.0	0.0	7.493591660988146	5.530942361619786	3.3835687062610385	1.7726271991495286	1.9024811754798803	1.8329884374470784	11.252689461853615	15.74384829023942	15.66897042932267	8.66547334011417	3.8254777585757798	5.2615982089611535	4.4594834780445725	5.144107184623633	4.438200786212237	2.6222567256760865	1.7649000335874239	1.7585860145766987	2.4027287822203767	4.228505294066917	16.879551307437755	-6419.735817800783	-505.67017252941577	-384.47439890006024
2800000	-7324.296959186954	-916.4316893564195	-6407.865269830535	1073.2253182273325	948.7746817726675	4114.488643949409	37.52564806293961	0.45216723890072313	1984.4743519370604	2021.5478327610992	620.6554295108192	0.3392806909553268	1.3055108945836478	0.5485752955619344	0.09347663608011998	3.436322737921176	0.2768337448978189	0.25345048472105935	0.20032640119247377	0.20004577893848083	0.34617733514798427	0.19297790298628073	0.0012084273974599634	5.199569806119497E-4	0.0010762797700479066	0.41149069805883515	-0.09031629398682675	0.0	0.0	0.0	0.0	0.0	7.7247973333693345	5.865083517602218	3.015006160236028	1.2291419931574663	1.4224384970841555	1.849426438454687	11.578883869729308	15.5960755065784	15.600538042286056	8.413785307818596	3.8171313339654627	5.294979277557974	4.78162873088022	5.145537734728729	4.656012261796047	2.2925176581622693	1.9346306563390985	1.0237127948363816	2.0291664822411497	4.128537046432659	16.9518500917572	-6407.865269830535	-505.67017252941577	-407.56183153108117
3500000	-7312.129838646719	-898.6402917418786	-6413.48954690484	582.8572808635201	1439.1427191364799	2662.4311984964916	22.203664049618833	0.7771455595651202	1999.7963359503813	2021.222854440435	422.8107353543628	0.2821883281070912	1.2903817323503595	0.40430008545036616	0.1799749709587248	3.4819347321696736	0.36122015096381166	0.2696953562654292	0.1920753281045192	0.19510562682494897	0.34312368880510186	0.20180368720702907	0.001644163747389334	8.236435317461517E-4	0.0014129264099306527	0.3983080109442299	0.12391962971222593	0.0	0.0	0.0	0.0	0.0	7.941093389339437	5.118221706772548	3.508627303264217	1.2136519873748972	1.9543047130543125	1.2679325643294526	11.112510910577727	15.951023954745924	15.651232412499688	8.754203124885088	3.799068527977184	5.981565006324428	4.799369140543272	5.65327079245273	4.110994068597578	2.913136390812424	1.8513059226562882	1.5675725039788273	2.3288134194500634	4.881241318023676	16.984162567721103	-6413.48954690484	-505.67017252941577	-389.759444990934
4200000	-7337.685316790522	-913.2365303883344	-6424.448786402188	459.6556330438256	1562.3443669561743	2787.581520308561	36.498698272221034	0.13491063042770898	1985.501301727779	2021.8650893695724	448.2104925790599	0.3406843406960356	1.3593708652107612	0.5605372356452819	0.14378888963249553	3.3189285817722105	0.2766900870432415	0.274195011602428	0.1885025706573392	0.17986133817198188	0.35744107956825	0.1969281055330074	0.0013705391975556572	5.387250753919018E-4	0.00154770356222132	0.386918320043508	-0.11336510016128189	0.0	0.0	0.0	0.0	0.0	7.504315601210158	5.279304459932074	3.8120757274364805	1.2169038343804406	1.8913707819944254	1.1962249133143168	11.16478637688604	15.389034896197158	15.35329740396759	8.235252015902214	3.816635347741925	5.62019926772691	4.290806970308176	5.896556284462692	4.6261143660215565	2.9083816259799	1.156193001101278	1.0015845848235978	2.2868078892865253	4.275944285934036	16.49972479186112	-6424.448786402188	-505.67017252941577	-404.84548976055055
4900000	-7292.397196651751	-878.3137382006333	-6414.083458451118	304.8582546639249	1717.141745336075	1740.786415599445	15.06019987263795	0.9118532302195532	2006.939800127362	2021.0881467697805	318.9660513817699	0.328162195035194	1.2538837451841154	0.4208303458335512	0.16304572186546895	3.4787997658195176	0.3552782262621732	0.2733236954896173	0.19192720428895688	0.1906078807298841	0.3441412194915394	0.17991967056470085	0.002052936751427508	0.0013215260114640783	0.0021547929468537846	0.5539453226905192	-0.03222279689041141	0.0	0.0	0.0	0.0	0.0	7.693869216132721	5.619343994165246	3.4693237707209175	1.426442017990557	1.3444596889649618	1.5969702980845768	11.601165906457894	15.04673385076951	15.501708177054711	8.865335005132067	3.8326148497747714	5.606023119504614	4.113257893908499	5.36338016900409	4.822286851835495	2.667104559674772	1.0392912674072132	1.4702899439475667	2.24007811257437	4.432060453799006	16.38527392545836	-6414.083458451118	-505.67017252941577	-368.26358149191543
5600000	-7301.247308796308	-887.7869492749976	-6413.46035952131	652.9486001552336	1369.0513998447664	2650.508151368215	20.8601976115941	0.019271648214149256	2001.139802388406	2021.980728351786	367.095420933996	0.414116579052491	1.0083631118607101	0.4256326981695279	0.16971651406215033	3.6994557688970535	0.2827153279580855	0.2782804729169719	0.19109797227388367	0.1852075586298405	0.3454139961793017	0.17974036652739636	0.0016419344596601691	7.901827595553631E-4	0.0015760246132341855	0.510327629418462	-0.05614448990605216	0.0	0.0	0.0	0.0	0.0	7.300252734014936	5.307574361421992	3.114296141743748	1.507690443430584	1.9477661963270352	1.251514870441967	11.751039606000752	15.403180101240777	15.194675747882158	8.518215373569447	3.816550736767746	5.338275306566504	4.247986748276134	5.978173210551011	4.265744286563353	2.1336767641975087	1.9239416817586874	1.0516009293485586	2.048921820967223	4.388875819840093	16.6222188235638	-6413.46035952131	-505.67017252941577	-379.08395590324085
6300000	-7312.362970090652	-897.963389418924	-6414.3995806717285	465.61825443804526	1556.3817455619546	2488.069208455693	30.309936870302813	0.8437197554712048	1991.6900631296971	2021.1562802445287	479.8068657669901	0.4913998288715807	1.1519456086886055	0.440341270289336	0.12429428432346858	3.447061089501426	0.3449579183255966	0.2664283919170884	0.18411502751049816	0.20221554862275734	0.3472410319496547	0.21115124295362103	0.0015365648952509695	7.783608280565117E-4	0.0016914750392718323	0.44736718489872646	-0.20652362968454696	0.0	0.0	0.0	0.0	0.0	7.125502797795034	5.55469563891711	3.513499854074561	1.3455456773193895	1.4974622009967704	1.5714765541115736	11.130811445870934	15.928212071003774	15.914883750520538	8.073453085129026	3.7996314572587013	5.282277331926248	4.089935138395627	5.885839049131212	4.063262895499047	2.2030944556784986	1.7447908410222241	1.2981761593461476	2.582530614302355	4.340996834611386	16.894092129129955	-6414.3995806717285	-505.67017252941577	-389.1358945401876
7000000	-7294.216206156858	-891.0863653055015	-6403.129840851357	1110.100697779813	911.8993022201871	3558.8851642879617	21.275495712101385	0.022703864391314985	2000.7245042878985	2021.9772961356086	452.3973199672316	0.2192736682206438	1.0387262591429876	0.48401977396439816	0.12235700873666121	3.793817684088432	0.3418056058468867	0.2724944961712094	0.192241193433298	0.19047400972169096	0.3447903006737989	0.19733532518440947	0.0017305921201948957	6.529160550941978E-4	0.0010957449998563829	0.3799108698668957	-0.055912696489875936	0.0	0.0	0.0	0.0	0.0	7.848429081346695	5.465202560398731	3.1180038420738088	1.378288102869709	1.5670909075363197	1.5625099100259545	11.959359395225773	15.598109208756673	15.779496923317543	8.207410748944648	3.7920723302605137	5.35396950242951	4.347782688343298	5.061368833859609	4.102319314652979	2.592901087555615	1.5905268946256528	1.8248382722296532	2.600682775725738	4.674959785165452	16.689255016473634	-6403.129840851357	-505.67017252941577	-381.88785094185556
