state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085192.1_2022)	age(C_AA085194.1_2014)	age(OQ175264.1_2016)	age(OQ175290.1_2018)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175300.1_2010)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MN611520.1_2018-03)	age(MZ328297.1_2016)	age(OQ175231.1_2017)	age(OQ175287.1_2016)	age(OQ175288.1_2017)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175299.1_2020)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(DQ648790.1_2005)	treeLikelihood	branchRates	coalescent
700000	-3835.707601880674	-871.9763213234517	-2963.7312805572224	196.35738095779547	1825.6426190422046	1698.1049041530036	20.60939187114437	4.305005197671314	2001.3906081288555	2017.6949948023287	309.81767611283044	0.7626150574570381	1.527062728384516	0.4846633673273633	0.7146539110039177	2.0046125117985363	0.506392424028623	0.26626436375154183	0.24071685988313254	0.15203722415119714	0.34098155221413046	0.4569960456170882	0.0023993703838624176	0.002715744810018489	0.0030899891932698255	1.0886745116891001	0.1755182600099117	0.0	0.0	0.0	0.0	0.0	7.517853061331245	5.408190362385348	3.18538095275058	1.4440462699114303	1.7693260439528857	1.8118025763936934	11.849772541537943	15.186795575802387	15.898551112412875	8.618063114171289	3.7720932676585357	5.476624100959083	4.573035404332977	5.077256099129786	4.15324838192201	2.9244166839974213	1.4341676310756981	1.432928486887953	2.095485225724069	4.773631438792087	16.657100722753352	-2963.7312805572224	-505.67017252941577	-359.6687680681597
1400000	-3840.6057652135387	-879.6964210677094	-2960.9093441458294	331.8334407410101	1690.1665592589898	2276.178928804448	29.000905469776264	0.6163254480467721	1992.9990945302238	2021.3836745519532	360.2145058777591	0.6709984693770825	1.4304596920356045	0.6891520233730203	0.7244303137221942	2.1395976834932724	0.3453618179988275	0.28023777372236586	0.24096214007179173	0.16479579223398164	0.3140042939718606	0.46533890372515657	0.0023065044642985423	0.0027668996781903465	0.002464977717845153	1.148898380041212	-0.030827275269323846	0.0	0.0	0.0	0.0	0.0	7.401528722524819	5.0040507185596255	3.2993682253722794	1.8459033781921534	1.0670738440477552	1.3902115955757024	11.862924178212937	15.45156473557797	15.677659865227469	8.377533288455611	3.8355749249470614	5.568108900120696	4.092732899460388	5.781124079864812	4.690303351909132	2.512109318818934	1.9999817891307612	1.437382451038654	2.265191629862797	4.996312631395265	16.386280589001277	-2960.9093441458294	-505.67017252941577	-367.83761502310387
2100000	-3861.1878043577053	-886.517645284968	-2974.6701590727375	566.1277130733102	1455.8722869266899	2919.034082562787	35.94112938577352	2.423221622430366	1986.0588706142264	2019.5767783775696	399.8754658346483	0.8254903145038431	1.1468033149010612	0.630430363856365	0.725260527029696	2.1727067101814703	0.4993087695275593	0.27985694525115756	0.2474093267200851	0.1879470301745176	0.2847866978542392	0.4625269916137615	0.0015726003950351157	0.0010072919436915847	0.0015037401316603646	0.6307755062626607	-0.04486513896076952	0.0	0.0	0.0	0.0	0.0	7.497367606355677	5.351882503058378	3.4611250274859446	1.5659007603689328	1.8588268092816365	1.1548456187399276	11.900907646282759	15.51208767566078	15.856603300205661	8.887516840213257	3.826053587518736	5.45936773734979	4.5539090121355486	5.622273127405617	4.105470327026293	2.6580794651114537	1.9745630476337066	1.1406462216142792	2.3601396583938143	4.736618530042914	16.68022709734037	-2974.6701590727375	-505.67017252941577	-377.34897121516536
2800000	-3885.5482092486786	-911.7133191014656	-2973.834890147213	1409.6187901926844	612.3812098073156	5522.222223077804	41.821105928447835	9.192561347519382	1980.1788940715521	2012.8074386524806	584.7662351420761	1.2838850093696546	1.2270065265698546	0.6157440676161409	0.6488181640715671	1.837290853152769	0.3872553792200091	0.24611350650176556	0.2474304909177454	0.176572067047803	0.32988393553268425	0.4333572275256683	9.630130836274246E-4	3.363750064040455E-4	8.897981446643405E-4	0.34080314606138373	-0.14423531025799335	0.0	0.0	0.0	0.0	0.0	7.427431399161413	5.464011985211125	3.059627306839119	1.5931698877670601	1.3332229301400362	1.2567278955380106	11.237021348993725	15.842666484498643	15.802323136651435	8.713600720712089	3.7968414412031506	5.204626877919955	4.577437028555109	5.3024200707782585	4.005529208241085	2.6191651592412963	1.5495150749229654	1.7282510784032628	2.8304078604799745	4.889928331521869	16.37449379557802	-2973.834890147213	-505.67017252941577	-402.6025042491045
3500000	-3849.1266607366388	-876.0439671032198	-2973.082693633419	978.0095657849122	1043.9904342150878	3378.161461250809	24.094345026882824	2.3738474805687177	1997.9056549731172	2019.6261525194313	341.13555234490855	0.8563422041996118	1.300666915603335	0.4520284125803507	0.6140090408743898	2.2411970368035403	0.5357563899387621	0.25115991325769077	0.23270032618824243	0.1794045922365383	0.3367351683175263	0.512986021411971	0.00201264034306337	2.706217712616219E-4	0.0020901268754953805	0.13977493029785718	-0.1707189105769021	0.0	0.0	0.0	0.0	0.0	7.049855332392102	5.027059805307475	3.303958240962939	1.7508934775174914	1.2094107806501033	1.582109751309659	11.33021509000096	15.936626297485404	15.679459842934161	8.79444141525539	3.8184696715556607	5.549621407301875	4.892414031045314	5.355722970822729	4.969971096011099	2.4593149601838293	1.6108184732696214	1.8098302212301163	2.28613318994665	4.988899312850315	16.918108711259105	-2973.082693633419	-505.67017252941577	-365.48421620858613
4200000	-3865.072073579643	-888.7577367961982	-2976.314336783445	1438.694076310675	583.305923689325	4839.02644800992	28.555371994134624	3.325795159954297	1993.4446280058653	2018.6742048400456	393.9029656752508	0.940831491127141	1.1701679502459805	0.561543259753307	0.6445890777216926	2.154187481121997	0.5286807400298732	0.3074966024168424	0.21529541327510054	0.18443464170659568	0.29277334260146004	0.4093291987978955	0.0014603308058148163	8.642738008239253E-4	0.0012656681576720286	0.5215029387179634	-0.10393884261882826	0.0	0.0	0.0	0.0	0.0	7.991489836932956	5.587926280994834	3.2012460026963425	1.2711451734718293	1.9886952913706328	1.6278533583066164	11.130857774633053	15.218911582911398	15.301496530995502	8.301879095572058	3.835812761899333	5.520513377715813	4.183086873483278	5.202079429894855	4.7791519358423065	2.12780631899941	1.2017022159673	1.8709124877815864	2.118247568666097	4.660347697826669	16.56505153975923	-2976.314336783445	-505.67017252941577	-379.94188400660573
4900000	-3878.8110921739867	-897.365998432881	-2981.4450937411057	1040.067168969182	981.9328310308181	4102.169270601618	24.471984734219507	2.7148702011976544	1997.5280152657806	2019.2851297988022	392.7601851205184	0.8375172182932833	1.219240069938123	0.8423338562439733	0.40330086956068667	2.226656406442392	0.470951579521541	0.2793289520668419	0.2643794212776757	0.17278981143506097	0.28350181522042195	0.48973208447951344	0.0013417624088685888	1.5279287184419903E-4	0.00135059192444985	0.11893213138395378	0.0027413926961221253	0.0	0.0	0.0	0.0	0.0	7.167080780113598	5.858808824398022	3.596666524081895	1.5775251305706046	1.8553027460243463	1.0322956467866584	11.905318680434556	15.720620999896244	15.7965323007349	8.249455748320589	3.760273270709421	5.394022584130661	4.854758963776972	5.326582029613535	4.4163956431558224	2.950055773475531	1.0671691218926544	1.1794964852246441	2.440405958711334	4.119968524178994	16.426680908075564	-2981.4450937411057	-505.67017252941577	-388.58429093301953
5600000	-3897.5788185075135	-923.0049045963606	-2974.573913911153	2624.5314859645723	-602.5314859645723	8584.341488915137	73.90751147805531	0.2864357080713524	1948.0924885219447	2021.7135642919286	704.5694467446574	0.8291561804412326	1.4035879703035687	0.46225814927861114	0.4397080827654316	2.425515266642807	0.439774350568354	0.25682383983819884	0.23973942451721855	0.18070570216128778	0.3227310334832962	0.38871252283728536	8.600613759752867E-4	6.958309924473602E-5	8.341810912670968E-4	0.07793298992858609	0.11648471896516266	0.0	0.0	0.0	0.0	0.0	7.832001003935244	5.815102616705735	3.476120684649523	1.870520183570961	1.2094828727346958	1.436916201046987	11.09454164839986	15.4983906606888	15.595991227363218	8.888981851730476	3.8072977408097137	5.0991176776243945	4.340111002823238	5.401313180109819	4.951734568265709	2.034347409932661	1.1837149151279314	1.8051096500238082	2.228235415774683	4.1457466500762115	16.844763367012252	-2974.573913911153	-505.67017252941577	-413.415165864808
6300000	-3885.7618614522426	-902.1950108019175	-2983.5668506503253	1309.6108504266285	712.3891495733715	4997.426604681196	29.203558360864996	0.26129586286975887	1992.796441639135	2021.7387041371303	534.9881415170589	1.060833640982762	1.4719821028519346	0.5333127662763311	0.3766602066323824	2.1388677753378134	0.4183435079187873	0.22156238732668648	0.2459542447319883	0.208166851879525	0.3243165160618024	0.426317209949203	0.001089301958226998	1.813268424973296E-4	0.001078486442332413	0.16708825419290874	0.010106342142163943	0.0	0.0	0.0	0.0	0.0	7.081757616927238	5.261564581598082	3.8050316149267083	1.3932024272193853	1.5697584515771528	1.2527021304798733	11.798754064649206	15.830507316494378	15.161363026331022	8.647559654123189	3.7856825872830497	5.225551470371718	4.90865892447927	5.335350456259087	4.375614557801478	2.7513762642496578	1.9980689135934033	1.0588927861369297	2.1656567962684905	4.912429031595737	16.95760340926899	-2983.5668506503253	-505.67017252941577	-393.2907680437468
7000000	-3865.0952845398197	-880.9099056622889	-2984.1853788775306	797.5873046081938	1224.4126953918062	3150.9181901026277	35.57139696976118	1.4091398699563187	1986.4286030302387	2020.5908601300437	370.71645410663194	0.929301838754373	1.4006483996431844	0.45347336503152	0.4652225469543304	2.3112032201882466	0.4401506294283606	0.23210632290206537	0.21497721584460242	0.19374823761994733	0.35916822363338685	0.5236919934009836	0.0015835342279605315	2.2196010139366435E-4	0.001591242361602805	0.14497546751191404	0.07896052817477696	0.0	0.0	0.0	0.0	0.0	7.9867826077031285	5.190187066288995	3.6478685605059944	1.7840941787539148	1.0701183145409927	1.0449312888446451	11.100265488345057	15.973028523852234	15.906720049168895	8.093418464321921	3.835467580216462	5.767144992535579	4.7192404078055885	5.177188238414471	4.783637437764059	2.855800984168395	1.2798798664034408	1.6649408165858937	2.49625194144884	4.63387157168253	16.16061999764131	-2984.1853788775306	-505.67017252941577	-371.6575461850824
