state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085192.1_2022)	age(C_AA085194.1_2014)	age(OQ175264.1_2016)	age(OQ175290.1_2018)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175300.1_2010)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MN611520.1_2018-03)	age(MZ328297.1_2016)	age(OQ175231.1_2017)	age(OQ175287.1_2016)	age(OQ175288.1_2017)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175299.1_2020)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(DQ648790.1_2005)	treeLikelihood	branchRates	coalescent
700000	-3094.361463957918	-903.5385995625587	-2190.8228643953594	224.9099826302758	1797.0900173697241	2500.31122719547	22.52026469219235	0.32370879572325856	1999.4797353078077	2021.6762912042768	584.9649347872884	0.6892652928123307	1.5499532017169744	0.5140271756841799	0.802194173952743	2.0025359875146274	0.44202416831914393	0.265599067638755	0.2323395422346387	0.13255142339908021	0.3695099667275257	0.7537998711411459	0.002261128955848197	0.0015727828681457812	0.0026714745111960487	0.7017061270347003	-0.03250661391823013	0.0	0.0	0.0	0.0	0.0	7.8052584544040355	5.291718659002629	3.262436782565212	1.9119242141801682	1.3510244202024828	1.0796539049505534	11.180670699963194	15.199608248416762	15.096595227527128	8.264004406690924	3.8010778090054904	5.76351441396753	4.944648858509911	5.186184623337026	4.661714370880176	2.7426981109480075	1.6104725860978566	1.891303030381399	2.76564832192134	4.14210165998407	16.23088641003721	-2190.8228643953594	-505.67017252941577	-390.6041893544492
1400000	-3098.6520611815813	-903.9275966488747	-2194.7244645327064	246.10583724610046	1775.8941627538995	2734.437423905733	24.215994211340533	13.084720034114895	1997.7840057886594	2008.915279965885	473.0134540695699	0.6711401374431294	1.61088570818169	0.5231630738426201	0.39747115913671766	2.3202316701690653	0.4771082512267762	0.23106284568713678	0.20716135393012242	0.15195362057376816	0.4098221798089711	0.5408741721823028	0.0020713317207373093	0.0012994395298545527	0.0022235655026811856	0.6094830115812971	-0.09542830731469308	0.0	0.0	0.0	0.0	0.0	7.2214717706863825	5.899935459653418	3.292842836939854	1.2143931548364584	1.604200805243937	1.9613614511563808	11.295449057917661	15.874694851685593	15.205373009411353	8.788042764357332	3.7893839913001495	5.893247891350744	4.8463220960949425	5.327306574466496	4.444136741539342	2.4719440921869564	1.0471057614625128	1.9888709747760762	2.749734292722432	4.374967790832217	16.550126082827475	-2194.7244645327064	-505.67017252941577	-392.7431359643479
2100000	-3120.387934603115	-925.7515262519491	-2194.6364083511658	479.5898799401129	1542.410120059887	4342.122729687603	53.05331301443183	0.698284879446845	1968.9466869855682	2021.3017151205531	752.5769381073642	0.5301386753994399	1.710710589111361	0.5013963545328048	0.5117684471783278	2.4303058449918473	0.3156800887862192	0.28683101802706606	0.221873850349456	0.1234227969546431	0.36787233466883157	0.5451404839866156	0.0017651050543906108	9.825195616949942E-4	0.0017378599578300733	0.4554797887633541	-0.01738298888591445	0.0	0.0	0.0	0.0	0.0	7.877176166916077	5.920059640663692	3.6745365568731057	1.9091880450930376	1.9254726043238946	1.3087451136025214	11.589500577396091	15.673902296645112	15.691298138728797	8.053726463447568	3.8083624425566334	5.199086373736179	4.367502474943734	5.079087561638943	4.389329834171255	2.6222567256760865	1.3126224944311586	1.4765825729841802	2.730469438304828	4.748377292517372	16.879551307437755	-2194.6364083511658	-505.67017252941577	-414.49296434492646
2800000	-3114.5021959530886	-944.1303984882037	-2170.371797464885	771.764926340443	1250.235073659557	6446.048269804791	51.2340733370988	1.4583474209882936	1970.7659266629012	2020.5416525790117	1275.9029959544137	0.7194800283999112	1.6551746523515192	0.5980049177665959	0.4451477185203387	2.4090836404272937	0.17310904253433362	0.23403264976206373	0.20522104721577283	0.18308207888220457	0.3776642241399555	0.47448781360275394	0.0015690135248734895	0.0020966342166162024	0.0014759681936151788	1.264716181191973	0.2787187335760622	0.0	0.0	0.0	0.0	0.0	7.073334709282739	5.76265632660161	3.463413500135253	1.0407383398293917	1.413416403900446	1.9106592065453378	11.26259236262773	15.130184658383957	15.947440871661536	8.809941435980686	3.759861639679221	5.076707514939457	4.978273831495077	5.274760951841976	4.3793267131342635	2.269997694237221	1.1051689955567028	1.728574288974385	2.7393034762816892	4.32231473294524	16.34980730353741	-2170.371797464885	-505.67017252941577	-431.13113725404054
3500000	-3100.40115453718	-913.177201603436	-2187.223952933744	503.75221971999713	1518.2477802800029	3646.5032829087377	25.344860895351587	0.1325450296082768	1996.6551391046485	2021.8674549703917	521.1441211479867	0.5567641001955728	1.499316797842863	0.3831951943730332	0.7085591393603924	2.543833717137622	0.30833105109051057	0.27442284746860846	0.18834597522976984	0.1652588439588896	0.37197233334272994	0.5969083006234696	0.002493083048500174	0.0021400538599748928	0.0023319940467245183	0.6994335137245442	-0.1394038862277694	0.0	0.0	0.0	0.0	0.0	7.514968004614534	5.567683435750965	3.93996753883024	1.1884975172240546	1.767186462729021	1.7997309391505518	11.29202699629279	15.118401834948592	15.382490138127537	8.46586259099919	3.783020974874462	5.685308498095211	4.714709790525863	5.291586910544256	4.029886903790648	2.130948013390545	1.518782331034255	1.8449720351680918	2.0994766677858405	4.507448452834625	16.61455918200493	-2187.223952933744	-505.67017252941577	-399.5376988758294
4200000	-3102.566429605434	-926.3095272237805	-2176.2569023816536	501.6387334012226	1520.3612665987773	4425.601512789616	49.1330975046084	8.060348869510019	1972.8669024953915	2013.93965113049	864.1462458341573	0.5457326985383676	1.5273987019620063	0.5780387571197007	0.7280292234583436	2.383485907469813	0.23731471145176494	0.2547004359586623	0.18830834649016745	0.1323883690224208	0.42460284852874525	0.6139960887755904	0.0022122221877800053	0.001971951010737702	0.002168927951707369	0.8481603571680546	-0.030185017822096205	0.0	0.0	0.0	0.0	0.0	7.480600519308155	5.100350740935626	3.0497459976796164	1.628949333334217	1.7090628935266188	1.4698915178587957	11.925340569309592	15.188814161028928	15.093570436219132	8.681765263539384	3.826854058887106	5.865123532311192	4.676719003794499	5.823607231532042	4.326237163735789	2.043717777574461	1.7074095019418032	1.4424705143120131	2.699872977341151	4.193261832646899	16.518597020410404	-2176.2569023816536	-505.67017252941577	-412.6208640063529
4900000	-3092.3242081110234	-899.3740969625145	-2192.9501111485088	491.3939056129283	1530.6060943870716	3187.5292356183404	25.210223421849925	1.1380146518237793	1996.7897765781502	2020.8619853481762	464.0358480656488	0.7916911761222003	1.4777159816460574	0.42430915671460745	0.620378268528438	2.4607266680149054	0.22517874897378504	0.2267065057141756	0.20633205093701618	0.14308297767492664	0.4238784656738748	0.701636542047397	0.0026620835955905083	0.0017487388970098203	0.002422867078368803	0.5392159591933602	-0.011550315243723104	0.0	0.0	0.0	0.0	0.0	7.6978386694863	5.760912623040211	3.807770532616571	1.8254882367537912	1.1521843427937999	1.120960783580595	11.730784905295648	15.142752571973771	15.992625819893261	8.49642448530407	3.820270192835831	5.782109579671331	4.12730613748977	5.675788662912051	4.980091513304769	2.367167235495252	1.2581219562605825	1.6396611845844813	2.9000694141925996	4.300006627511583	16.45080537597835	-2192.9501111485088	-505.67017252941577	-384.6678473911692
5600000	-3101.569395020029	-923.5519793122434	-2178.0174157077854	744.6597065686537	1277.3402934313463	4750.509234785855	70.4042568710999	0.0914168639438891	1951.5957431289	2021.9085831360562	898.1780175236656	0.8219473752340907	1.5369756564986654	0.37946163844286634	0.39223926194255265	2.6158414213180285	0.25353464656379215	0.2744784515842147	0.18646320175375214	0.16008158314556156	0.37897676351646425	0.7157828898048644	0.0018674292344231472	0.0010421726649544178	0.0018175157264146442	0.5332529423611061	0.15011667350435537	0.0	0.0	0.0	0.0	0.0	7.71285992178325	5.410312468113034	3.6442751835547478	1.5756483512984625	1.843728625361409	1.6590009082553774	11.774421217698041	15.47628383845578	15.254127634169706	8.3666593225454	3.8248328864688443	5.1795047347803616	4.357803006023149	5.484715223743199	4.6835053152599535	2.603862587294252	1.7639854008519786	1.7859685764280506	2.251473412278473	4.242041417411805	16.53214819389442	-2178.0174157077854	-505.67017252941577	-410.93732689719457
6300000	-3074.786976842726	-904.6927716646424	-2170.0942051780835	740.3538036008372	1281.6461963991628	4551.665681323811	50.44628480813342	4.437021272526659	1971.5537151918666	2017.5629787274734	508.4137793226107	0.6134513015536532	1.4457369343988788	0.42558980614659986	0.538732082980751	2.669201968496585	0.3072879064235232	0.26288957117780903	0.1895920974875075	0.14928500329340447	0.3982333280412721	0.5146436312846207	0.002089348085907067	0.001996365022244004	0.0018816423034139994	0.8352884887680219	-0.1495048898878544	0.0	0.0	0.0	0.0	0.0	7.213461754120091	5.474553300701609	3.256700588322316	1.9019959010756868	1.2045919673162535	1.612257806996023	11.739895802063478	15.178139788971134	15.472929663096167	8.004320833169304	3.8145248663508373	5.078552930294523	4.695057771617288	5.8974167575998155	4.830421845503514	2.493753284179431	1.1362072651541553	1.6592357601754024	2.8927687340045027	4.962180372750234	16.689717765354157	-2170.0942051780835	-505.67017252941577	-393.35229972226165
7000000	-3116.231500637071	-940.4022661836411	-2175.8292344534298	1047.3483343196124	974.6516656803876	6844.751708772834	25.903857059491337	0.4271712639452697	1996.0961429405086	2021.5728287360548	1092.6711881927981	0.7954204237656828	1.239611595651215	0.6581956212353661	0.5043658939815491	2.649087774994098	0.15331869037208432	0.23832684953400177	0.16870770924863837	0.19280826896303718	0.40015717225431446	0.7759946066455505	0.0013101145025731658	0.0010363874464819573	0.001004466783830529	0.7103993310996659	0.09152059774265138	0.0	0.0	0.0	0.0	0.0	7.251477048137407	5.79751122419995	3.739105948015773	1.6113353245709572	1.4306009441516694	1.9368086854085687	11.01589145094823	15.73748229399194	15.199498991221727	8.038862058634367	3.813150514688303	5.7735444154759445	4.634089707765104	5.63994369978967	4.041989107882449	2.670065133173548	1.3309615384768183	1.4744881811837884	2.8407045824017563	4.783890503127883	16.856649926892246	-2175.8292344534298	-505.67017252941577	-428.07935046545515
