state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085191.1_2022)	age(C_AA085194.1_2014)	age(MN611520.1_2018-03)	age(OQ175231.1_2017)	age(OQ175264.1_2016)	age(OQ175288.1_2017)	age(OQ175290.1_2018)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175297.1_2020)	age(OQ175298.1_2020)	age(OQ175299.1_2020)	age(OQ175300.1_2010)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MZ328297.1_2016)	age(OQ175287.1_2016)	age(OQ175289.1_2017)	treeLikelihood	branchRates	coalescent
700000	-10840.431974347317	-706.4535560738336	-10133.978418273484	163.07623217633403	1858.923767823666	1634.879025157787	36.391982441359055	0.3519252263854578	1985.608017558641	1985.608017558641	387.11140403076814	0.3689144709772685	1.4586054905012211	0.611373143699405	0.2624430248719385	3.065658111545497	0.23300575840467422	0.29696448798298164	0.18817320240127297	0.19084546024953628	0.3240168493662095	0.1487777635665279	9.293996513947899E-4	4.222151038423001E-4	0.0010299331058280824	0.42196539563599494	0.0928793763109921	0.0	0.0	0.0	0.0	0.0	7.398806443531303	3.796906155932404	4.453022427549441	5.456977687990495	4.200194541524633	3.5555769952425527	2.727700908292462	1.2631213169364979	1.651427033689284	1.7811217614679413	1.965759320912705	1.0644125208828157	1.6822510482457174	1.844189320498215	11.182545362362278	2.9213433166592537	4.374125691667052	15.324812625765677	15.57758780828742	8.021132872139201	5.2122147826793865	5.663316017032141	4.342012996904282	-10133.978418273484	-394.0056396740822	-310.253630018813
1400000	-10811.817288820937	-693.2231710508183	-10118.594117770119	121.84400066002495	1900.155999339975	1302.9942554871157	22.40044474334522	0.8848609965746767	1999.5995552566549	1999.5995552566549	311.04484105859103	0.4032403216272374	1.2647282746202249	0.5653358214106994	0.18471948392307797	3.3992167060746112	0.18275939234414504	0.2824694730765938	0.18455289386297652	0.19254791970651053	0.34042971335391786	0.15096373908885796	0.0012475275806317042	4.986319979756489E-4	0.0013226361515588092	0.4566004045841486	0.057500371864831555	0.0	0.0	0.0	0.0	0.0	7.466670055107681	3.8301339063387396	4.3326558722308866	5.510996960555492	4.850823717456017	3.4918083211539015	2.0735256903870667	1.757448900077567	1.441887712318135	1.6393095584141641	1.738312814333323	1.492902293542142	1.9639808081440058	1.9008983349028248	11.861316043242788	2.223911795319083	4.371702444408682	15.00799187119049	15.54708271135844	8.514886529200743	5.38757490162137	5.6455844730002465	4.096463446892338	-10118.594117770119	-394.0056396740822	-296.9929921114335
2100000	-10838.976252085611	-709.1770977423093	-10129.799154343302	298.002731442389	1723.997268557611	1968.0199167740059	45.78878742452332	0.6967408471255492	1976.2112125754766	1976.2112125754766	523.0812171660755	0.33717264595811053	1.124114518070045	0.4518987865815991	0.21192230323167405	3.6528397871033667	0.22205195905520175	0.2829272660173573	0.1803594993275112	0.21304569535977677	0.3236675392953534	0.1497412666590188	9.484575609288106E-4	4.85995431957406E-4	9.530825813769941E-4	0.4215110130536106	-0.03809198479936939	0.0	0.0	0.0	0.0	0.0	7.441525571361621	3.7950712954632952	4.3069722544756	5.338190475756999	4.517301458241404	3.2323663085807577	2.8671506524349617	1.1107024847913438	1.0053460008112076	1.518180697538369	1.7912773572911176	1.0846619755994849	1.8512064736597857	1.5789481165359827	11.912080920121833	2.697115835465727	4.574569504248298	15.490256740587943	15.014281594454257	8.311147430342132	5.837640118318223	5.287836636080915	4.611051000463347	-10129.799154343302	-394.0056396740822	-312.5471676480437
2800000	-10824.319900810327	-697.9673595626956	-10126.352541247632	266.9250847409332	1755.0749152590668	1631.9305303498256	50.29187637324567	0.23659760980830935	1971.7081236267543	1971.7081236267543	378.8963504967001	0.41785641040919796	1.2268779211433019	0.5342711350699638	0.20992271474420215	3.3761630637207114	0.2349087549126224	0.2852631839425389	0.19291770885681586	0.2068141977805268	0.31500490942011705	0.16511544557308241	0.0011901076212143097	3.623441170448608E-4	0.0010715621989061538	0.31728383302502794	-0.02715729670044468	0.0	0.0	0.0	0.0	0.0	7.820340225479419	3.801477241102738	4.396706867126262	5.5704064280682655	4.220804331719118	3.9994055760129976	2.6841999770376312	1.1031787514726532	1.21865752807193	1.3806878162289147	1.7213146454356993	1.8644302422324466	1.1264412412419422	1.321840673412441	11.00828263070706	2.076295490228666	4.234978368949968	15.192066636305823	15.518409306292464	8.339366058843606	5.197611512659732	5.54716828389232	4.078876920550234	-10126.352541247632	-394.0056396740822	-301.6896119623096
3500000	-10842.144514492351	-700.0876911826163	-10142.056823309735	319.56387170738634	1702.4361282926136	1881.6981673307303	43.671361425269644	0.08799894122764126	1978.3286385747303	1978.3286385747303	353.6584183920774	0.3833853745672547	1.3582035799925174	0.526202816099552	0.1542099870721435	3.37165166673035	0.20634657553817434	0.2894166254824478	0.19029947942890693	0.19019332622948867	0.33009056885915317	0.16500984936116042	0.0010247675123487103	5.174920581922024E-4	9.534240930420743E-4	0.47934741580387485	-0.05186657258949619	0.0	0.0	0.0	0.0	0.0	7.158724373210466	3.7919481048270005	4.486244167571668	5.668772153287018	4.608605587814171	3.0423590462615904	2.529397785663292	1.0566337306225575	1.6419060580470213	1.2178806090051078	1.1716503372628924	1.784576410929458	1.0465749887310083	1.8639569595712633	11.544710755637338	2.6743532930128864	4.205279701097792	15.28618640331637	15.69119071092783	8.039781884622109	5.636878788198037	5.775035345732937	4.2281822629181685	-10142.056823309735	-394.0056396740822	-303.9228742132211
4200000	-10852.960084343851	-721.8031707673229	-10131.156913576528	394.26514378301755	1627.7348562169825	2568.574446599688	54.22259558124786	0.297119623611807	1967.7774044187522	1967.7774044187522	658.2114614596935	0.43446927168477567	1.166263117818271	0.4969362181120062	0.15027383929031923	3.530673195175578	0.22138435791904243	0.2757711569882598	0.17525284128599694	0.2176444118693889	0.3313315898563506	0.15967450634758626	7.338567548771684E-4	2.3529358150510015E-4	6.670726810876179E-4	0.3503478533820128	-0.10362051395171162	0.0	0.0	0.0	0.0	0.0	7.607669966143144	3.777371022770263	4.790570877217364	5.0741612814697	4.319383459377803	3.502972977423126	2.9671598464729256	1.6626215657047778	1.4025765817230502	1.6379304386425473	1.7070135496486711	1.7569242097100508	1.7826017712244209	1.0661036990117738	11.09333426606068	2.0656269276269756	4.961065595385104	15.096540972999575	15.05430213393159	8.55234422628637	5.988652403693224	5.854399087016081	4.64938803161729	-10131.156913576528	-394.0056396740822	-324.44364003769357
4900000	-10833.848621860827	-706.105058650936	-10127.743563209891	247.36281221800047	1774.6371877819995	1848.4827674799194	48.41191403466569	0.7788565297146082	1973.5880859653344	1973.5880859653344	398.738517287871	0.3971544306459699	1.15893222154097	0.4652068838177208	0.26159946701527415	3.5550633194913663	0.16204367748869677	0.31033537117517657	0.1835408468448809	0.19679117341083802	0.3093326085691014	0.16170789132570487	9.876313027566215E-4	4.311384129580854E-4	0.0010515723097353426	0.43697889848026	0.07203535509085202	0.0	0.0	0.0	0.0	0.0	7.899239724642474	3.8228616919227094	4.199622497265844	5.999966936482901	4.835207656402763	3.2443466466220863	2.436790437376019	1.1424471808592616	1.8798110542522166	1.5909898768107682	1.421219838732812	1.9548325078162043	1.9375055850273903	1.3421904553100437	11.533416103710145	2.6791277473516364	4.533792867087783	15.05608048971588	15.52651170817475	8.578111548513196	5.329894832792963	5.744997620733252	4.82867191672695	-10127.743563209891	-394.0056396740822	-309.8624508864634
5600000	-10825.07158253996	-713.5180009174901	-10111.55358162247	228.02096633647108	1793.979033663529	1959.840453291249	46.26279675085013	0.08609801032813946	1975.7372032491498	1975.7372032491498	575.3806474626341	0.38766255768062874	1.4560779336517355	0.48758173595646337	0.20101352454145927	3.2662629939425916	0.2014012542271163	0.28105206809813343	0.19808483470321966	0.18890350650744475	0.33195959069119946	0.16667229061679398	8.188323816733518E-4	3.930207382947649E-4	9.606938812170481E-4	0.5126754978199416	-0.06053312867236322	0.0	0.0	0.0	0.0	0.0	7.876056954259325	3.803334984882306	4.96055103467243	5.244807514254574	4.170595626562852	3.2569898031482163	2.16912876655884	1.5458686021984684	1.6461477897411159	1.935733954205682	1.8647006714357768	1.424457601983141	1.8027949134421029	1.7952264936711975	11.192588616220155	2.474486443324383	4.257774236036811	15.041028445684383	15.946387245739063	8.101836878062777	5.0688160643595435	5.638681443046673	4.480742864228254	-10111.55358162247	-394.0056396740822	-316.5816936277802
6300000	-10861.213711580296	-728.3578974944431	-10132.855814085853	393.7884289244727	1628.2115710755272	2843.658951246223	59.80433049299526	1.7843289570765268	1962.1956695070048	1962.1956695070048	766.9302812096034	0.3313905790763904	1.0844923862323064	0.45220466107875934	0.2298591468051926	3.704291617351501	0.1977616094558463	0.3071401146932316	0.16739748130862836	0.2109265392346552	0.3145358647634829	0.15466838647251824	5.96082364409185E-4	2.049391100255179E-4	5.45004631970825E-4	0.34556540607467395	0.10141901233211405	0.0	0.0	0.0	0.0	0.0	7.2318102943513	3.7671964319570694	4.016498154202866	5.130547515438313	4.536948622378885	3.5790083075911694	2.4042460910354473	1.0365124938576205	1.4777233437009052	1.893823839948738	1.3508465210442204	1.1746998619498452	1.3942999167622798	1.0501660938355635	11.921018110359094	2.9653656284528256	4.930497244356637	15.541968158553866	15.849976174513499	8.593887372606366	5.011491980712103	5.838492818699018	4.609416382812006	-10132.855814085853	-394.0056396740822	-330.32489287529324
7000000	-10834.818814948212	-719.3773221461183	-10115.441492802094	366.3244366176821	1655.675563382318	2686.794272853558	46.52508184595407	0.9398582979069794	1975.474918154046	1975.474918154046	518.9565361349756	0.3102417494096936	1.1273808648970132	0.5340963699531533	0.2014880618905533	3.616132556157247	0.21066039769233402	0.31045320882832667	0.18024537523528528	0.20303216476437708	0.30626925117200887	0.14523854748625548	8.001648689452805E-4	5.901509517079402E-4	6.921046953246922E-4	0.5758378767196417	-0.01713772896232276	0.0	0.0	0.0	0.0	0.0	7.586207631537206	3.777200697419815	4.857735483213842	5.387323592453975	4.712841328316438	3.528238843439929	2.46954578903566	1.2034185360477587	1.2476276001734106	1.072459739029801	1.727995336279632	1.2922206355811445	1.0098038083490013	1.722238463958302	11.592201271848545	2.8801082278812467	4.462023426707941	15.685103544831279	15.242936798348001	8.187180132331827	5.672170941738039	5.71036639921491	4.506758372077836	-10115.441492802094	-394.0056396740822	-322.6975463104372
