state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085191.1_2022)	age(C_AA085194.1_2014)	age(MN611520.1_2018-03)	age(OQ175231.1_2017)	age(OQ175264.1_2016)	age(OQ175288.1_2017)	age(OQ175290.1_2018)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175297.1_2020)	age(OQ175298.1_2020)	age(OQ175299.1_2020)	age(OQ175300.1_2010)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MZ328297.1_2016)	age(OQ175287.1_2016)	age(OQ175289.1_2017)	treeLikelihood	branchRates	coalescent
700000	-2080.9279425036934	-685.0083861413331	-1395.9195563623603	128.76448313110626	1893.2355168688937	1373.3522702927037	31.413301071050157	13.311490107329636	1990.5866989289498	1990.5866989289498	240.55100237841452	0.4438875394349376	1.3649288841953662	0.8823031528688671	1.0304033642448274	1.7210821943468866	0.5573948649091097	0.29070090866155535	0.19812930802270173	0.2390493893503292	0.2721203939654111	0.18254536414598355	8.744535032208157E-4	9.601094843502402E-4	7.276895489486857E-4	1.106025309158461	0.06358429551465576	0.0	0.0	0.0	0.0	0.0	7.427630563010711	3.781599613975053	4.3282506679934025	5.261823625546222	4.771742424065764	3.831597742471035	2.1607104025029806	1.3169321781537766	1.4572148165028278	1.920185882408219	1.0155690695568378	1.8213980897229476	1.2843342626755883	1.426489011274167	11.019203205260574	2.3918385319448414	4.502366672748898	15.158786567769877	15.551215388537626	8.388761283972833	5.344225306534291	5.264724466039007	4.643463421262254	-1395.9195563623603	-394.0056396740822	-288.6622275156649
1400000	-2066.837300924751	-689.3885674667233	-1377.4487334580278	254.05106532772865	1767.9489346722714	1931.8854927445345	102.44300222209644	6.4719299662342396	1919.5569977779035	1919.5569977779035	281.01802815386196	0.3496702089360033	1.6291267261559434	0.5211641839462485	0.7725519089050986	2.099559548619102	0.6279274234375959	0.3135015492849009	0.18756945512671136	0.2234720762514511	0.2754569193369339	0.18569192816278282	8.837936706916975E-4	3.4168132459148665E-4	7.647698042158081E-4	0.39786414534819947	-0.06745525576148056	0.0	0.0	0.0	0.0	0.0	7.015736839436411	3.7733926990263416	4.117969190060877	5.5986032482536645	4.35453033374722	3.938732384863296	2.001111511542642	1.4854714245898408	1.5652300679227829	1.5780170514271172	1.5049758249199408	1.2677649691431052	1.3729001442557442	1.5629678759151062	11.02652868719081	2.76654786847577	4.195164733525545	15.50295649852563	15.466551058549898	8.54321108841159	5.633513470428323	5.420512820653218	4.113627085237242	-1377.4487334580278	-394.0056396740822	-293.1602367926278
2100000	-2058.2976887898985	-692.1841206497891	-1366.1135681401092	262.30592962291036	1759.6940703770897	1818.9906221186925	27.977133898439376	1.56167860045835	1994.0228661015606	1994.0228661015606	332.8732842878292	0.29899825255772877	1.533215241408135	0.7568871269501065	0.12076487222064096	2.502726104102449	0.7874084027609258	0.31630543895284396	0.18121425877693384	0.2311320264419711	0.27134827582824994	0.17451762764229822	5.588605327179993E-4	3.954691036151777E-4	5.256402920881224E-4	0.6813410616944988	-0.10246164443189451	0.0	0.0	0.0	0.0	0.0	7.074923635240232	3.789320807082337	4.411357479950159	5.3133140758736515	4.201221512193817	3.768770374305176	2.201691332328165	1.0189910317279909	1.0829968271202985	1.3464625990460357	1.9122013254071755	1.8260084548910296	1.9059640497556911	1.7425475780994888	11.627642092611348	2.192130858144633	4.790827846879534	15.028252795246043	15.93559830790073	8.282068464306871	5.940311880482707	5.846625425551455	4.925498975463373	-1366.1135681401092	-394.0056396740822	-295.6340048217968
2800000	-2042.0781758809853	-678.9626139676416	-1363.1155619133438	261.63628718849384	1760.363712811506	1592.4310777130522	19.920430443143065	4.300203340254172	2002.079569556857	2002.079569556857	288.699876812012	0.12406346333741766	2.1185813676571836	0.6794317089932382	0.03350419885201317	2.384047767969172	0.6603714931909546	0.29236624266491423	0.18658642457749677	0.2533599675206452	0.2676873652369409	0.1690121504887684	9.957291438638313E-4	0.0015494096120942094	9.001064375519936E-4	1.0193615857440086	-0.019175576832585476	0.0	0.0	0.0	0.0	0.0	7.027292756989504	3.768385213712779	4.788315124325948	5.784495976846973	4.279302157572938	3.3480251693559104	2.6678348137408756	1.5521652104317853	1.365950524629975	1.5661114534449183	1.4881975294323277	1.753021680944696	1.6476021497392541	1.3165178257646994	11.60158597763676	2.4414232406180556	4.503665989632072	15.829018579717701	15.879690961036875	8.643148324060709	5.281504309390776	5.31865387512621	4.993864500357782	-1363.1155619133438	-394.0056396740822	-282.8015732268727
3500000	-2043.7943273191263	-677.9254407290316	-1365.8688865900947	243.89303266069425	1778.1069673393058	1646.345423418765	13.721076080638511	1.155817268275969	2008.2789239193614	2008.2789239193614	184.73621653256842	0.3493159726216878	2.231084197175251	0.4990524583885106	0.07149004826693395	2.048773063335904	0.8002842602116795	0.3126003138863229	0.1664199355164941	0.1971270599191613	0.3238526906780191	0.18533482219071196	7.264302680347039E-4	7.826862963026548E-4	7.165312043055684E-4	0.9239147736459998	-0.09696223574927694	0.0	0.0	0.0	0.0	0.0	7.464805054784634	3.8224461428498318	4.658653886646472	5.481782019830328	4.5757289466861675	3.2042641720694913	2.670691685671887	1.5416763578507986	1.180108016499024	1.1385101623830494	1.848216538403677	1.1163314950378729	1.8420375309393484	1.7092241374850776	11.861267360412189	2.986452983863318	4.94169459952861	15.381190975169831	15.108183340368683	8.83217786465394	5.9448421080900316	5.023281988978297	4.559550150715186	-1365.8688865900947	-394.0056396740822	-281.0346560767273
4200000	-2060.754836158565	-704.5294547060644	-1356.2253814525004	279.101441191772	1742.898558808228	2453.8791933571715	129.14932136352178	0.047925138377752474	1892.8506786364783	1892.8506786364783	385.2575972857359	0.2280029619941243	2.3359883103628127	0.4926067879709064	0.0946886755121587	2.3302632549451983	0.5184500092147567	0.2995507242420685	0.1690380857747365	0.21513733194983115	0.31627385803336105	0.12961309229866405	4.905644500057461E-4	4.1832484320273916E-4	4.286300619916642E-4	0.5890075727796662	-0.13343259677518793	0.0	0.0	0.0	0.0	0.0	7.434975584471233	3.8237001524039878	4.760783310080339	5.349651121172263	4.465014168993281	3.0909948877026694	2.4322081221874132	1.5756705328168739	1.5673814016218781	1.192285544141391	1.9785013222581254	1.6123123203890142	1.35037098204468	1.8353345907406955	11.213374549825811	2.154237334468391	4.820864715465066	15.635361384477694	15.301551257211468	8.243359333949417	5.627410280927364	5.381545264694466	4.916758752066877	-1356.2253814525004	-394.0056396740822	-307.8627507873232
4900000	-2016.0850437273125	-660.4345980679788	-1355.6504456593336	163.6786462924862	1858.3213537075137	1011.9173076555822	19.74578632992124	1.0227295664460903	2002.2542136700788	2002.2542136700788	206.72588166834154	0.3456722631598367	2.4530183988914875	0.7306655216384564	0.01455716834998058	2.203157625802073	0.25292902215811397	0.2440316490957177	0.17315932441277146	0.23481527532840188	0.3479937511631055	0.18775844064323316	0.0013412336618548826	0.0013446033990723964	0.0010705246835997914	0.7949441220911176	0.0678326900554934	0.0	0.0	0.0	0.0	0.0	7.875906902740263	3.7937803400018293	4.710308491702013	5.166198068128401	4.276051775279395	3.7705063276124773	2.176161472264962	1.876073153736479	1.198265542514565	1.7285132939470305	1.2500657115505707	1.5969015791590904	1.12469904167152	1.854150963281525	11.850157150852954	2.4217166079044565	4.726493936486346	15.723630291924183	15.793468634649106	8.053858184378047	5.655437090771745	5.314672119439248	4.690772936513016	-1355.6504456593336	-394.0056396740822	-263.66769080337747
5600000	-2012.7517345598628	-659.0974603737166	-1353.6542741861463	271.20305916064626	1750.7969408393537	1227.8401960497154	11.21114560999658	0.5924878696997403	2010.7888543900035	2010.7888543900035	176.6720405306587	0.2232335934840823	2.3838941883407045	1.0714810002346837	0.019793993327544716	1.980454175217305	0.3211430493956272	0.2537279905519777	0.21377441439857164	0.2500238583523315	0.2824737366971157	0.18877220745302775	0.0010778573069489302	0.002085295961871733	7.85297085253101E-4	1.4207605449900134	0.10515539755546957	0.0	0.0	0.0	0.0	0.0	7.867949718075154	3.8216596486077807	4.747169265250979	5.152401495754365	4.996368830591904	3.925004401317217	2.2351920846569397	1.6061907428749505	1.9510064788833816	1.624885126238697	1.827711960821333	1.6282075661708828	1.616034134322074	1.6814188306334414	11.636205837163164	2.9052702746291263	4.063431470444289	15.661607715183163	15.737573529386523	8.754645972734641	5.422892258738317	5.036446984950447	4.169172745344171	-1353.6542741861463	-394.0056396740822	-262.23465113408724
6300000	-2018.0503473039355	-667.0129048546264	-1351.037442449309	154.67971953372677	1867.3202804662733	1126.2852278847388	7.656966748030412	0.5404974828992808	2014.3430332519697	2014.3430332519697	197.79161943808992	0.33858749478250966	2.0373783921071484	0.7904835331393718	0.10890245110151682	2.4667946031773087	0.2578535256920998	0.2973596274823906	0.17980405606186553	0.23859012503373078	0.28424619142200885	0.18174012139594248	0.001535638026474368	0.0048442311132215485	9.006420881546367E-4	1.6407062583625251	-0.10093087935254491	0.0	0.0	0.0	0.0	0.0	7.3025513923611065	3.8373238569789154	4.4033808055419685	5.432650122629543	4.044674712635201	3.8185908718817583	2.8571315403767823	1.6040718773898752	1.7324863525462102	1.5337176666423664	1.3695525224860323	1.1793464845497583	1.109570031768984	1.9869901045604135	11.725634767421653	2.3331140546372886	4.799681315143399	15.206378093993434	15.070751615638626	8.805760335260088	5.698995964778374	5.9142356740387445	4.0604885647257385	-1351.037442449309	-394.0056396740822	-269.8287208212229
7000000	-2014.5839493334338	-656.5616715555483	-1358.0222777778856	203.20691778353796	1818.7930822164622	1026.0007053727795	12.584801290492521	0.0017880304853127786	2009.4151987095074	2009.4151987095074	151.21308834788775	0.6904142496389359	1.3945055089559841	0.5040726452743558	0.025011562236366053	2.964711049604844	0.42128498428946887	0.30185453212582	0.14102579791869888	0.2480415418598562	0.3090781280956196	0.17261564360656573	0.0016548119555829027	0.0054853721926693575	9.939611675553934E-4	1.572124418193085	0.04574102447563249	0.0	0.0	0.0	0.0	0.0	7.376283757416683	3.7818467857988356	4.015404378457338	5.693561403226439	4.822717869703305	3.421089748393333	2.3282542060561426	1.2507646143952766	1.9155987388438436	1.9426540316689374	1.9896961901599295	1.7795068021971039	1.747382973501577	1.6257370040352264	11.39551810454764	2.196306980973528	4.694802971444409	15.705505484827777	15.07179991194485	8.016251619419192	5.427878409777561	5.310066844534931	4.410737248110275	-1358.0222777778856	-394.0056396740822	-258.4687849585574
