state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085191.1_2022)	age(C_AA085194.1_2014)	age(MN611520.1_2018-03)	age(OQ175231.1_2017)	age(OQ175264.1_2016)	age(OQ175288.1_2017)	age(OQ175290.1_2018)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175297.1_2020)	age(OQ175298.1_2020)	age(OQ175299.1_2020)	age(OQ175300.1_2010)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MZ328297.1_2016)	age(OQ175287.1_2016)	age(OQ175289.1_2017)	treeLikelihood	branchRates	coalescent
700000	-2353.7434615683915	-688.0582343675524	-1665.685227200839	455.48014288426475	1566.5198571157352	1984.8769853614294	76.23663525653417	1.8080203629508524	1945.763364743466	1945.763364743466	331.50167155753576	1.2305057764050764	1.3978002597650765	0.6530571089813846	0.37310559323597137	1.8207933009097836	0.5247379607027005	0.23539014734630578	0.23890001126722943	0.2610225402816653	0.2646873011047981	1.6748434394470517	7.304958937555913E-4	1.677833555114319E-4	9.098043310376356E-4	0.22428017737188208	0.039893071300686526	0.0	0.0	0.0	0.0	0.0	7.470724448903218	3.833161947863519	4.941514532430498	5.758079716719914	4.635791466015843	3.2821573428083646	2.2858390996443503	1.3519459516563315	1.78796664421863	1.6349127733189912	1.7887899719216103	1.729049589147245	1.7467900943246049	1.5105537533726339	11.45180914284758	2.93348901811524	4.8076806921329505	15.434046105108726	15.581173802111698	8.16270950062623	5.659517579452526	5.748643530822849	4.8884229423479875	-1665.685227200839	-394.0056396740822	-288.75301301203507
1400000	-2347.6809023070728	-697.8701520932007	-1649.8107502138719	793.462733606975	1228.537266393025	3072.8575873408486	116.46452244250419	0.10607474789730115	1905.5354775574958	1905.5354775574958	295.26965362336364	0.9902430409915118	1.4189663371010792	0.704529788943578	0.11448473325701349	2.280412827953406	0.4913632717534038	0.2676509418229759	0.2285469351177207	0.2793140863861251	0.2244880366731786	1.3517206706286677	5.919355640723615E-4	2.0701302191474712E-4	6.607364947021914E-4	0.32769426567610505	-0.03383183908602552	0.0	0.0	0.0	0.0	0.0	7.811667343432584	3.772953930625034	4.139730999187047	5.368871119190999	4.031865069519405	3.7967088862669915	2.973202440795899	1.309423969362119	1.0373378543345728	1.4868879623686257	1.2142367835350067	1.7997093928217276	1.4939294132988707	1.785478017459658	11.663579812632342	2.0015757553808733	4.3029604179244725	15.01996083067666	15.0961803669518	8.718812253730539	5.517660997619989	5.311016933079561	4.4684565323457806	-1649.8107502138719	-394.0056396740822	-299.0213277628337
2100000	-2372.701641169173	-715.9827164590985	-1656.7189247100744	1677.3311167490697	344.6688832509303	5395.9658684657015	197.04415646830589	4.647583432296791	1824.9558435316942	1824.9558435316942	381.577370485034	1.0823945209410217	1.5188131294291047	0.5911308843802426	0.10817263248698376	2.292880075538182	0.40660875722446793	0.22726606008075056	0.22325665588624774	0.280075653548129	0.2694016304848751	1.3972263568099694	4.279650531720572E-4	2.880898201724986E-5	4.1119849232943844E-4	0.06852590621808852	-0.043678721656729286	0.0	0.0	0.0	0.0	0.0	7.993732264328303	3.8204877640546355	4.290320894881637	5.1985391622172825	4.513896019183797	3.5478822468028035	2.3047923836752044	1.2873117252929078	1.5750366653977532	1.0434896577250354	1.4256028068016153	1.5937962112291677	1.6141446941118323	1.1831957217968674	11.890338529379353	2.806138725170111	4.336637509397239	15.181786125546015	15.18904523490543	8.73343073833383	5.862831042484981	5.590896937649562	4.214575697609249	-1656.7189247100744	-394.0056396740822	-316.65420054499845
2800000	-2374.2875923205593	-714.131691492245	-1660.1559008283143	1818.1569784825847	203.8430215174153	5649.096126738314	153.93517670436216	1.0127567911292439	1868.0648232956378	1868.0648232956378	458.89877737431516	1.0724495150844535	1.9176563816190442	0.39224068101331655	0.1405185481026464	2.1109020934979927	0.36623278068255244	0.23612192062556486	0.2637506915929432	0.21645980243137355	0.28366758535012054	1.4961014680033033	4.4885081855929905E-4	5.552395977267267E-5	4.494611258371231E-4	0.11504979654512686	0.13844502714669488	0.0	0.0	0.0	0.0	0.0	7.429874712485785	3.7690963046234027	4.7113735114247435	5.505765130201047	4.74028721859394	3.5146640641005167	2.3426402124338916	1.1154168531015263	1.8892800230245017	1.6410364357686418	1.9748999225382202	1.328725926721372	1.50960656573743	1.85271552761822	11.575508423265106	2.0170231328646064	4.222943638735622	15.786286649388325	15.281726253179455	8.12675748136108	5.257650018046947	5.619399102545095	4.405635576965744	-1660.1559008283143	-394.0056396740822	-314.44075409132927
3500000	-2358.3164076148664	-714.52285367991	-1643.7935539349564	1750.140555086019	271.85944491398095	5424.029079977729	131.96315369045107	5.7858606810891455	1890.036846309549	1890.036846309549	406.2661782418492	1.2130149126570722	1.2791439855073747	0.5871924224468177	0.08283296663221738	2.391325748987222	0.44648996376930494	0.2241147261153277	0.21706507110124854	0.3058839142538924	0.25293628852953204	1.2680832362680718	5.247736661506075E-4	1.5039663359466758E-4	5.752129713996305E-4	0.27751095352745814	-0.04176479800152924	0.0	0.0	0.0	0.0	0.0	7.986921951505703	3.7889083738863008	4.6458955039921115	5.688038349741429	4.389546275265115	3.851129817267788	2.349009546138605	1.7297111413291346	1.133925244009971	1.8881866220226762	1.3471788673950376	1.4532466222496192	1.0710343587627338	1.5228696484440036	11.867676784490435	2.4267947247222024	4.252179830373069	15.725345922293776	15.722038562339923	8.233564956488877	5.591812180411103	5.888374591098448	4.916225907385866	-1643.7935539349564	-394.0056396740822	-315.59843585040915
4200000	-2331.746317439366	-688.7055056636789	-1643.040811775687	1391.2509090750636	630.7490909249364	4022.4703926216903	65.18811219731487	0.23726120327856046	1956.811887802685	1956.811887802685	241.60472679037693	1.0126374241555876	1.3630811694911276	0.4869610883126591	0.07000999641950421	2.7741388791142247	0.2931714425069053	0.23053012726505567	0.23700576856369424	0.2877521191755881	0.24471198499566346	1.2356438131391376	9.914958935742092E-4	9.520222087426225E-4	7.088466094041915E-4	0.8566270014728824	-0.12815398668454073	0.0	0.0	0.0	0.0	0.0	7.409891759277776	3.83256518051597	4.81624203796074	5.63051413628858	4.786035767249754	3.9771134615970167	2.1559249237162748	1.8243203584764287	1.726737796655466	1.9756044415057792	1.4097362073585882	1.975755758217642	1.3625495388717144	1.6366161769493837	11.83700829119376	2.7382560378021887	4.03586700787002	15.361482442281815	15.304034747357733	8.41236549879424	5.386927748961899	5.208547844017947	4.88774582357009	-1643.040811775687	-394.0056396740822	-290.289184701087
4900000	-2337.7885968802657	-684.4829737190714	-1653.3056231611945	981.7806387079127	1040.2193612920873	2976.4565023866094	57.04707338471931	5.734479020661586	1964.9529266152806	1964.9529266152806	260.2805259417221	0.8944694561504766	1.4213990029232542	0.5184365834823873	0.14509010056310542	2.5913256283440966	0.42927922853669315	0.22836310056454345	0.2262537378409183	0.2922098675380407	0.2531732940564982	0.8100051283650848	7.945960308424901E-4	2.307468360297997E-4	8.986387747511678E-4	0.27598575051634505	0.03356693809724854	0.0	0.0	0.0	0.0	0.0	7.75710647228982	3.815294483299697	4.210151061410039	5.505673582616104	4.927687000936645	3.023774858028994	2.3948684081815843	1.1088346290515088	1.0161860505452265	1.3906499921492061	1.108093901093283	1.5259987842701268	1.5062333103396168	1.532665893363316	11.550568404896296	2.142579174045231	4.523799191085538	15.970377935387821	15.367283138916706	8.733087144683708	5.203063946974275	5.271260423208714	4.47990924063394	-1653.3056231611945	-394.0056396740822	-286.9030078076439
5600000	-2315.394383236545	-667.7974071126928	-1647.5969761238518	452.367010368494	1569.632989631506	1627.7274208829137	58.68587120948325	2.10441617645576	1963.3141287905169	1963.3141287905169	188.22707337326693	0.7510113920450245	1.5284520424000645	0.3867128659415161	0.25586682290067325	2.5881868965004275	0.4897699802123038	0.24553820231510895	0.22103471154534693	0.26275583313200257	0.27067125300754186	1.271495365577343	0.001480171012932938	0.001541698266781658	0.0017381773937847568	0.8581198254693546	0.12372028272251047	0.0	0.0	0.0	0.0	0.0	7.707185863841817	3.825710231203604	4.013045957636702	5.936935596334958	4.954754822732373	3.644778056657711	2.9453232038145805	1.7728635073387857	1.7420067952399474	1.1121718305374997	1.4489295902382273	1.391457591007375	1.9382956636134472	1.8606090844418597	11.01882022974381	2.2742060699428475	4.358486988105067	15.038563630213922	15.269422511179902	8.398641100595027	5.42928807673018	5.407620979155965	4.311255013577762	-1647.5969761238518	-394.0056396740822	-268.4596427003117
6300000	-2374.854926219261	-723.1497895452089	-1651.705136674052	2153.90870328434	-131.90870328433994	6632.542746575781	211.87631014413589	3.9443114867382216	1810.123689855864	1810.123689855864	541.1987578450988	1.1253912823714447	1.5495343533318335	0.4222108137583615	0.14937105039766121	2.3355373244063906	0.41795517573431923	0.20927278187616444	0.24792147633946707	0.3079497570956479	0.2348559846887203	1.1313999822959373	4.121912249547924E-4	6.341385335622429E-6	4.0804285196435085E-4	0.01433304080396266	0.11339215755123003	0.0	0.0	0.0	0.0	0.0	7.511768228817131	3.813762279420016	4.085125717319892	5.982591742159637	4.375446959007177	3.758343578571843	2.4176923891137347	1.8933408508338858	1.6896417092495357	1.5686026732446745	1.669453715834576	1.3697326798677647	1.1382456570811244	1.156976330993622	11.927759018064979	2.8297905427400245	4.743583523518725	15.788775479355733	15.822205803805343	8.595141840340597	5.802300142546018	5.1568478236875865	4.19078104905408	-1651.705136674052	-394.0056396740822	-323.8005112749725
7000000	-2351.273510946718	-685.5779345267835	-1665.6955764199347	1064.9617479091205	957.0382520908795	3292.156951695759	124.58835461005883	4.237652584057034	1897.4116453899412	1897.4116453899412	245.0984273436265	1.1711429901142822	1.483280143255132	0.5242664065354268	0.12301587661190411	2.2731958188788073	0.42509876460445745	0.2153430534411556	0.2849918217735255	0.27235347669485876	0.2273116480904596	1.1742581912059509	6.744919505294164E-4	1.1228112907334854E-4	7.033294884812475E-4	0.18110546726332064	0.001180800784194282	0.0	0.0	0.0	0.0	0.0	7.113067710721217	3.7706262950061715	4.757209035509617	5.513196526204872	4.993176785583354	3.291933393280118	2.5294257426587476	1.282019646730945	1.794255864902036	1.3820304372657493	1.4449189850270954	1.2792938585898725	1.00199997039156	1.095303858501392	11.127479769943367	2.6589952463227116	4.813495512092452	15.214912964271294	15.830291418343007	8.308488836272243	5.772542541280923	5.099853220347554	4.2833500222099214	-1665.6955764199347	-394.0056396740822	-287.08981144984654
