state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(mink-true)	tmrca(mink-false)	age(mink-true)	age(mink-false)	constant.popSize	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(C_AA075371.1_2022)	age(C_AA075373.1_2022)	age(C_AA085193.1_2022)	age(C_AA085190.1_2022)	age(C_AA085191.1_2022)	age(C_AA085194.1_2014)	age(MN611520.1_2018-03)	age(OQ175231.1_2017)	age(OQ175264.1_2016)	age(OQ175288.1_2017)	age(OQ175290.1_2018)	age(OQ175292.1_2019)	age(OQ175293.1_2020)	age(OQ175294.1_2020)	age(OQ175295.1_2020)	age(OQ175296.1_2020)	age(OQ175297.1_2020)	age(OQ175298.1_2020)	age(OQ175299.1_2020)	age(OQ175300.1_2010)	age(OQ175301.1_2019)	age(OQ715761.1_2017)	age(EF065510.1_2006)	age(NC_009020.1_2006)	age(KJ473820.1_2013)	age(MZ328297.1_2016)	age(OQ175287.1_2016)	age(OQ175289.1_2017)	treeLikelihood	branchRates	coalescent
700000	-6958.541154989263	-719.6441618178638	-6238.896993171399	589.0524578125644	1432.9475421874356	3017.997927835751	44.0882566373316	0.8469681089639315	1977.9117433626684	1977.9117433626684	627.2211537741019	0.6999775870060263	1.2603310482316292	0.8738672617531978	0.25748515932057614	2.604754102379934	0.30358484130863905	0.21806921333427637	0.24231300783509535	0.18695506001404696	0.3526627188165828	0.14510549506745798	8.095628743477623E-4	6.317748268679483E-4	7.760082006713511E-4	0.6529076313722597	0.047055658281805746	0.0	0.0	0.0	0.0	0.0	7.01053616276932	3.7732752667526537	4.714971800991421	5.538986339419542	4.012515877348261	3.265586594091503	2.1227399863553624	1.957261077535472	1.8730685732809216	1.1347946932054902	1.137904954269439	1.380940745650315	1.0762630242871238	1.7611769057691387	11.140426720150352	2.3160860579879894	4.191944073038153	15.504073079828427	15.039108464404821	8.701306392895441	5.192135634229309	5.544084669056444	4.531301387887552	-6238.896993171399	-394.0056396740822	-322.5197205150465
1400000	-6912.6056596790495	-680.997675848357	-6231.607983830692	521.2224217459349	1500.7775782540652	1854.2846195731045	13.603553859259746	0.4178872301722981	2008.3964461407402	2008.3964461407402	267.22490625206916	0.5176593791748398	1.1087335538731877	0.7347913501744816	0.31971259238056726	3.0188805544650226	0.300222569931897	0.23604653461309213	0.24684328830109217	0.20241732894881176	0.3146928481370041	0.15106719468527222	0.001698511474058168	0.001259678853060757	0.001446578859414098	0.6328098121227601	-0.03092288733498899	0.0	0.0	0.0	0.0	0.0	7.297768949233614	3.8136458166233167	4.637372356724004	5.1209941795775915	4.882885795231985	3.994228443807568	2.0782406779418174	1.7515645155638389	1.4333703950964287	1.1876133808608136	1.3131997671537396	1.6519668883497873	1.738906396218977	1.063939670776901	11.039268588992268	2.0775965752439887	4.1916219486734745	15.284751026728715	15.728371476894347	8.441962368041704	5.762509206487781	5.181115461276972	4.052080661350216	-6231.607983830692	-394.0056396740822	-283.85948335362286
2100000	-6928.834645599412	-696.0585615621238	-6232.7760840372885	657.882677547696	1364.117322452304	2476.5855040957613	14.474311901466079	0.16313391414838502	2007.525688098534	2007.525688098534	311.0667888869587	0.5015033398522798	0.9572937069297018	0.8052858606670872	0.3138119703774417	3.119301918876837	0.30280320329665683	0.2526788371075496	0.2491474961911794	0.20014783802045974	0.2980258286808108	0.14674163180056835	0.0012194418190850428	9.829744060586717E-4	9.5926901043832E-4	0.8447310438336386	0.02411835558829409	0.0	0.0	0.0	0.0	0.0	7.833582010554457	3.7616995655229575	4.274995045053623	5.707639123731377	4.3308309607161615	3.333388654160151	2.3064247110509535	1.4396779625614335	1.0436753162920658	1.9503173117855452	1.9560592008155537	1.4644092515403933	1.298410818423239	1.745133215544799	11.039755052758359	2.125050200966389	4.042424396772399	15.38884168049472	15.663640481655657	8.942074219134037	5.4334532481178295	5.397317819979324	4.7528855242539665	-6232.7760840372885	-394.0056396740822	-299.8616070226763
2800000	-6902.792922478761	-684.3255688071238	-6218.467353671637	468.50037395013123	1553.4996260498688	1943.990312370049	13.58022425882092	0.9374686000659288	2008.4197757411791	2008.4197757411791	203.0501283914209	0.5746662316110274	0.9813907647616747	0.6146920661480684	0.24582173400449256	3.312544598068508	0.2708846054062292	0.24728956402694163	0.25149283033368497	0.1881461836095796	0.31307142202979416	0.14829308883060624	0.001307744586486631	0.0011552307159102076	0.0012128186933202355	0.9319200288168673	-0.1174037194735038	0.0	0.0	0.0	0.0	0.0	7.08202684431676	3.7946941977923148	4.244290415541063	5.640581663914422	4.452691562342027	3.356048471809348	2.3760431931121895	1.1671642335859744	1.142376200558439	1.1073169852385245	1.5017135411007427	1.3094496620772356	1.0721442352531636	1.0337283277897025	11.57960179709448	2.9083751075923803	4.836008039083531	15.871270013579192	15.63190586544859	8.808706739866212	5.246931896951181	5.806369430756578	4.985151626575756	-6218.467353671637	-394.0056396740822	-287.65094347722714
3500000	-6959.014571917127	-722.0308369263901	-6236.983734990737	1071.610533515326	950.3894664846739	4437.74740217781	17.05713010610674	0.14075677186018612	2004.9428698938932	2004.9428698938932	620.6897839410224	0.5054646825263976	0.919184571890685	0.5631747673423316	0.35367999219168633	3.4116322622547615	0.2468637237941392	0.24171811890590844	0.24641385972102192	0.18045766941468946	0.3314103519583819	0.1194506544124089	9.187108737746349E-4	0.0011008542542222113	6.901942971356866E-4	1.1550988227756027	0.24545465361149607	0.0	0.0	0.0	0.0	0.0	7.160063542876776	3.763815356003377	4.4275017195755595	5.550505057456924	4.37493174233088	3.649804397293018	2.1763192980512835	1.0991856004945222	1.1603091385614555	1.7457305359646687	1.4262911453656986	1.1864180596436449	1.4882905577898908	1.2974210933173325	11.076459179971701	2.3337130883937465	4.257628783246883	15.72450076933789	15.476767449709703	8.107161020932283	5.232021700596909	5.786751099217591	4.133029978318714	-6236.983734990737	-394.0056396740822	-325.0443411468195
4200000	-6937.943874729453	-717.4219279997017	-6220.521946729751	597.7315812473903	1424.2684187526097	3036.4544622639705	28.8592670317541	0.057786749611095006	1993.1407329682459	1993.1407329682459	551.58045066912	0.38005226242441426	0.7875334277042114	0.578311054575171	0.26874353839038934	3.6786014031087353	0.30675831379708823	0.2642693549385411	0.2205699171221171	0.20306736987871543	0.312093358060627	0.1460440524934221	9.446640125603968E-4	8.278269520602787E-4	8.941895740746515E-4	0.785533170202001	0.26840562330644346	0.0	0.0	0.0	0.0	0.0	7.908482419884953	3.7752072569026764	4.748324836026514	5.463423919309063	4.07694716554372	3.2864066675685675	2.229676123059912	1.959302072621163	1.0516847458475114	1.943200570776011	1.7125389648917584	1.5690051348000886	1.9654619435118237	1.293469390375901	11.645582563839618	2.0644335707131005	4.898614354522894	15.873629174299653	15.582010765069404	8.032472611707792	5.816344600037002	5.264974906551825	4.924569861867091	-6220.521946729751	-394.0056396740822	-320.6837590365914
4900000	-6943.437066020475	-720.4307281984075	-6223.0063378220675	1104.3185135287235	917.6814864712765	4290.152154887699	26.883902454871738	0.8657381687850632	1995.1160975451282	1995.1160975451282	498.8678023465588	0.4639752218561393	0.6912759076974372	0.5602987741032149	0.3417386740627303	3.689850495888475	0.2528609263920093	0.26982072652150607	0.2249285428821781	0.2052159317534386	0.3000347988428765	0.1391834251491569	9.625039325761638E-4	0.0010045107793452096	5.895224706694687E-4	0.9481128643153391	0.03473598193320432	0.0	0.0	0.0	0.0	0.0	7.754187664730661	3.7797914001867845	4.709703200158303	5.243361582447748	4.481020407689053	3.657085051138781	2.964229512538813	1.3119768031992827	1.4256235971927016	1.9324028276141874	1.0863550591088358	1.698861280825089	1.518050742685971	1.9840966892817558	11.511241409259283	2.6291296880588146	4.476406183069336	15.894448435985728	15.706174868393868	8.168449346062655	5.164741923857774	5.109711727325876	4.7172792428276225	-6223.0063378220675	-394.0056396740822	-323.915004020124
5600000	-6916.145470878334	-670.3290011405204	-6245.816469737813	180.61128031255174	1841.3887196874482	1023.3538244070226	12.781833730438448	0.11643890884431099	2009.2181662695616	2009.2181662695616	155.87802205934008	0.39984902279179174	0.7282175958787629	0.714829385217326	0.25935547384742974	3.686607267759569	0.2111412545051269	0.27103216516056655	0.2117053294498229	0.2166290253659873	0.30063348002362283	0.14495328119034698	0.0019295963526789709	0.0013351333410438627	0.002179475088546288	0.7129467850472936	-0.025483767739812042	0.0	0.0	0.0	0.0	0.0	7.114877393936935	3.760031189583211	4.309121062953147	5.051947141299942	4.60227035337183	3.7790797449072766	2.9035950316524217	1.5277498883953697	1.4275870648609623	1.8189434877090065	1.7471898474473302	1.945866168538825	1.1105022434313383	1.4580768060568374	11.896534109245872	2.272928329367762	4.127699071509449	15.330287397910334	15.763183643250084	8.148812332637203	5.881365247318366	5.349743022863075	4.650040794199686	-6245.816469737813	-394.0056396740822	-271.5201820864673
6300000	-6934.208890579668	-707.2570651990868	-6226.951825380581	716.0102787193139	1305.9897212806861	2870.983432879576	32.22707959150819	1.2164762798239936	1989.7729204084917	1989.7729204084917	428.61541296835304	0.4921467681306021	0.8407524393212656	0.6846914491382724	0.26993664666645584	3.492656113084792	0.2198165836586211	0.24253306608118036	0.2288700563148342	0.20724879834220494	0.3213480792617792	0.15082580189180406	8.64928436401955E-4	5.122129320043266E-4	7.729271910299718E-4	0.5803526569320642	0.13956370774638305	0.0	0.0	0.0	0.0	0.0	7.055177493692404	3.8275938747056637	4.061729785410444	5.765072865887079	4.541214751117241	3.446550249210695	2.607937966362785	1.3465712514079522	1.6846381301403652	1.7558416281626252	1.6805649242618004	1.5820524463224523	1.6673979244664632	1.6111407908565951	11.63402159922847	2.9117089332365693	4.617198408642326	15.811788993711229	15.45052816524925	8.558525734751235	5.376155100884774	5.846717204396001	4.370378385610064	-6226.951825380581	-394.0056396740822	-310.9204799862144
7000000	-6936.734696945143	-701.5773249798992	-6235.157371965243	465.6208355788612	1556.3791644211387	2268.207037387597	28.567418009839162	0.16984936589228328	1993.4325819901608	1993.4325819901608	336.48175997823176	0.5029345814230053	0.8629183102913702	0.6208959848810515	0.402953870941632	3.4264328093099548	0.18386444315299927	0.24236979610895223	0.2421895345939536	0.19469009148971655	0.3207505778073761	0.14230580679560811	9.273119576650937E-4	7.74643309633321E-4	0.0010890208431685567	0.8196822432454932	-0.038557262160253424	0.0	0.0	0.0	0.0	0.0	7.032797809119312	3.785584158416614	4.542192594458199	5.22136918222169	4.933341752892418	3.1636739541921157	2.1035864795111974	1.2610001145859304	1.1333199389124955	1.320728579921587	1.5679536790730912	1.1445572612593926	1.8521993464093898	1.7648511434706449	11.073962586880224	2.463476849470348	4.95944855444004	15.444820089987457	15.65790953147507	8.367169128949289	5.798524974741972	5.73127295326187	4.739136808498196	-6235.157371965243	-394.0056396740822	-305.46641255491545
